"","Astrocyte","Endothelial","Excitatory","Inhibitory","Microglia","OD"
"-1971.778086_2745.402956",0.0714285714285714,0,0.0714285714285714,0.5,0.0714285714285714,0.285714285714286
"-1971.778086_2845.402956",0.0909090909090909,0.181818181818182,0.272727272727273,0.272727272727273,0,0.181818181818182
"-1971.778086_2945.402956",0.5,0.0625,0.1875,0.1875,0,0.0625
"-1971.778086_3045.402956",0,0.176470588235294,0.0588235294117647,0.470588235294118,0,0.294117647058824
"-1971.778086_3145.402956",0.153846153846154,0.384615384615385,0.0769230769230769,0.153846153846154,0.0769230769230769,0.153846153846154
"-1971.778086_3245.402956",0.0526315789473684,0.105263157894737,0.0526315789473684,0.578947368421053,0.0526315789473684,0.157894736842105
"-1971.778086_3345.402956",0,0,0.166666666666667,0.5,0.0833333333333333,0.25
"-1971.778086_3445.402956",0.0769230769230769,0,0.0769230769230769,0.538461538461538,0,0.307692307692308
"-1971.778086_3545.402956",0.133333333333333,0.0666666666666667,0.0666666666666667,0.533333333333333,0,0.2
"-1971.778086_3645.402956",0.0952380952380952,0.0952380952380952,0.285714285714286,0.476190476190476,0,0.0476190476190476
"-1971.778086_3745.402956",0.125,0,0.125,0.75,0,0
"-1971.778086_3845.402956",0.0666666666666667,0,0.4,0.266666666666667,0,0.266666666666667
"-1971.778086_3945.402956",0.153846153846154,0.0769230769230769,0.0769230769230769,0.538461538461538,0.0769230769230769,0.0769230769230769
"-1971.778086_4045.402956",0.133333333333333,0.0666666666666667,0.133333333333333,0.533333333333333,0,0.133333333333333
"-1971.778086_4145.402956",0.153846153846154,0.153846153846154,0.153846153846154,0.307692307692308,0,0.230769230769231
"-1971.778086_4245.402956",0.19047619047619,0.19047619047619,0.0476190476190476,0.476190476190476,0.0952380952380952,0
"-2071.778086_2745.402956",0.0909090909090909,0.0909090909090909,0.0909090909090909,0.454545454545455,0.0909090909090909,0.181818181818182
"-2071.778086_2845.402956",0,0.111111111111111,0.222222222222222,0.277777777777778,0.111111111111111,0.277777777777778
"-2071.778086_2945.402956",0.0909090909090909,0.0909090909090909,0.272727272727273,0.272727272727273,0,0.272727272727273
"-2071.778086_3045.402956",0.0833333333333333,0.166666666666667,0.0833333333333333,0.583333333333333,0,0.0833333333333333
"-2071.778086_3145.402956",0.0666666666666667,0.0666666666666667,0.266666666666667,0.266666666666667,0.0666666666666667,0.266666666666667
"-2071.778086_3245.402956",0.272727272727273,0.0909090909090909,0.0909090909090909,0.454545454545455,0,0.0909090909090909
"-2071.778086_3345.402956",0.333333333333333,0.222222222222222,0.222222222222222,0.222222222222222,0,0
"-2071.778086_3445.402956",0.333333333333333,0,0,0.666666666666667,0,0
"-2071.778086_3545.402956",0.0625,0.0625,0.25,0.5625,0,0.0625
"-2071.778086_3645.402956",0.0555555555555556,0.222222222222222,0.166666666666667,0.444444444444444,0,0.111111111111111
"-2071.778086_3745.402956",0.105263157894737,0.210526315789474,0.315789473684211,0.315789473684211,0.0526315789473684,0
"-2071.778086_3845.402956",0.0714285714285714,0.0714285714285714,0.214285714285714,0.571428571428571,0,0.0714285714285714
"-2071.778086_3945.402956",0,0.0625,0.25,0.5625,0.0625,0.0625
"-2071.778086_4045.402956",0.166666666666667,0.0555555555555556,0.111111111111111,0.5,0.111111111111111,0.0555555555555556
"-2071.778086_4145.402956",0,0,0.1,0.7,0.1,0.1
"-2071.778086_4245.402956",0.111111111111111,0,0.166666666666667,0.666666666666667,0,0.0555555555555556
"-2171.778086_2745.402956",0.125,0.125,0.125,0.25,0.125,0.25
"-2171.778086_2845.402956",0.0666666666666667,0.266666666666667,0.133333333333333,0.466666666666667,0,0.0666666666666667
"-2171.778086_2945.402956",0.0434782608695652,0.0869565217391304,0.217391304347826,0.478260869565217,0.0434782608695652,0.130434782608696
"-2171.778086_3045.402956",0.1,0.2,0,0.5,0.1,0.1
"-2171.778086_3145.402956",0.0909090909090909,0.0909090909090909,0.272727272727273,0.272727272727273,0,0.272727272727273
"-2171.778086_3245.402956",0.230769230769231,0.230769230769231,0.230769230769231,0.153846153846154,0.0769230769230769,0.0769230769230769
"-2171.778086_3345.402956",0.176470588235294,0.117647058823529,0.117647058823529,0.470588235294118,0,0.117647058823529
"-2171.778086_3445.402956",0.157894736842105,0.0526315789473684,0.578947368421053,0.210526315789474,0,0
"-2171.778086_3545.402956",0.230769230769231,0.0769230769230769,0.461538461538462,0.153846153846154,0,0.0769230769230769
"-2171.778086_3645.402956",0.117647058823529,0,0.117647058823529,0.705882352941177,0,0.0588235294117647
"-2171.778086_3745.402956",0.25,0.0833333333333333,0.0833333333333333,0.5,0,0.0833333333333333
"-2171.778086_3845.402956",0.2,0.133333333333333,0.266666666666667,0.266666666666667,0,0.133333333333333
"-2171.778086_3945.402956",0.117647058823529,0.117647058823529,0.117647058823529,0.411764705882353,0,0.235294117647059
"-2171.778086_4045.402956",0.272727272727273,0,0.0909090909090909,0.454545454545455,0,0.181818181818182
"-2171.778086_4145.402956",0.111111111111111,0.166666666666667,0.111111111111111,0.222222222222222,0,0.388888888888889
"-2171.778086_4245.402956",0.0434782608695652,0,0.608695652173913,0.130434782608696,0,0.217391304347826
"-2271.778086_2745.402956",0.333333333333333,0,0.111111111111111,0.222222222222222,0.222222222222222,0.111111111111111
"-2271.778086_2845.402956",0.136363636363636,0.0909090909090909,0.363636363636364,0.318181818181818,0.0454545454545455,0.0454545454545455
"-2271.778086_2945.402956",0.272727272727273,0.0909090909090909,0.454545454545455,0.0909090909090909,0,0.0909090909090909
"-2271.778086_3045.402956",0,0,0.25,0.5625,0,0.1875
"-2271.778086_3145.402956",0.125,0.0625,0.3125,0.375,0.0625,0.0625
"-2271.778086_3245.402956",0.0666666666666667,0.0666666666666667,0.333333333333333,0.333333333333333,0.0666666666666667,0.133333333333333
"-2271.778086_3345.402956",0,0.0833333333333333,0.25,0.666666666666667,0,0
"-2271.778086_3445.402956",0.0952380952380952,0.0952380952380952,0.285714285714286,0.333333333333333,0,0.19047619047619
"-2271.778086_3545.402956",0,0,0.0666666666666667,0.8,0,0.133333333333333
"-2271.778086_3645.402956",0.1875,0.0625,0.25,0.25,0.0625,0.1875
"-2271.778086_3745.402956",0.230769230769231,0.230769230769231,0.0769230769230769,0.384615384615385,0,0.0769230769230769
"-2271.778086_3845.402956",0.1,0.2,0,0.65,0,0.05
"-2271.778086_3945.402956",0.153846153846154,0,0.230769230769231,0.461538461538462,0.0769230769230769,0.0769230769230769
"-2271.778086_4045.402956",0.166666666666667,0.0833333333333333,0.166666666666667,0.5,0,0.0833333333333333
"-2271.778086_4145.402956",0.266666666666667,0,0.466666666666667,0,0.0666666666666667,0.2
"-2271.778086_4245.402956",0.0588235294117647,0.0588235294117647,0.411764705882353,0,0.0588235294117647,0.411764705882353
"-2371.778086_2745.402956",0.153846153846154,0.0769230769230769,0.0769230769230769,0.615384615384615,0,0.0769230769230769
"-2371.778086_2845.402956",0.157894736842105,0.315789473684211,0.315789473684211,0.157894736842105,0,0.0526315789473684
