,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2
-1971.778086_2745.402956,2,5,35,18,3,31,18,22,13,3,30,13,16,0,1,4,54,23,3,9,4,9,12,4,3,34,0,50,12,0,3,7,185,120,2,8,15,11,0,2,23,1,6,1,4,12,12,86,11,339,11,3,1,36,2,53,26,31,3,8,102,66,18,14,4,4,1,1,2,3,12,4,4,3,53,13,5,54,59,24,54,8,30,7,3,5,6,9,27,11,5,64,7,73,53,111,11,4,33,12,0,1,20,48,12,1,3,45,26,62,11,0,71,3,49,2,2,1,3,30,36,47,5,29,3,47,2,30,31,5,17,35,1,0,75
-1971.778086_2845.402956,0,0,47,23,3,38,10,3,6,0,36,8,9,1,0,25,43,4,2,4,4,28,5,1,47,16,0,34,9,0,8,6,69,45,0,0,5,5,11,1,52,2,1,0,1,62,10,61,6,187,1,8,1,18,5,43,1,28,9,5,34,156,5,7,1,1,14,2,3,0,15,4,1,2,56,0,3,208,17,18,6,12,9,1,10,0,15,12,57,18,18,38,3,62,18,5,8,12,13,7,2,4,23,31,10,0,1,2,44,49,0,1,76,0,59,16,0,2,143,33,29,36,10,0,13,53,0,39,14,7,9,15,4,1,131
-1971.778086_2945.402956,2,4,249,24,5,215,18,30,2,2,51,5,15,3,17,82,74,12,0,19,10,22,6,2,4,11,2,17,18,4,3,8,205,193,3,0,22,40,15,8,13,6,13,2,1,26,12,55,24,183,3,9,1,19,2,39,16,53,0,2,16,106,11,35,4,12,10,0,3,5,14,15,8,4,209,2,6,69,20,23,2,8,35,1,6,0,9,33,5,6,6,67,5,76,27,145,8,28,13,40,14,1,10,41,18,5,1,12,21,46,11,2,35,0,77,0,0,4,38,46,63,86,5,12,19,67,1,14,19,35,14,55,2,2,88
-1971.778086_3045.402956,2,20,30,27,5,9,17,68,2,1,59,14,6,2,2,4,89,14,9,11,6,13,1,0,4,22,2,30,2,0,34,2,69,26,1,1,5,35,0,4,112,4,15,0,4,71,4,240,5,626,2,4,2,16,1,174,40,72,15,3,13,140,37,29,5,14,11,3,3,0,46,27,7,3,90,1,21,311,8,32,43,8,30,0,14,2,2,25,73,12,6,76,12,156,48,2,16,40,22,8,6,11,18,107,8,3,1,6,38,86,6,4,249,2,49,5,1,1,131,35,28,74,2,29,246,78,4,14,24,7,36,15,4,6,331
-1971.778086_3145.402956,7,18,64,6,2,57,9,6,1,1,41,0,11,0,0,4,56,4,11,10,4,26,6,1,1,3,1,4,6,0,3,2,43,45,0,0,3,16,1,1,41,0,11,0,0,345,4,49,8,76,1,3,0,9,3,43,6,28,1,0,10,236,12,5,1,6,26,1,1,0,13,11,5,3,87,0,46,240,3,9,7,8,3,1,2,0,1,11,19,6,3,46,1,45,10,2,7,42,8,9,2,3,5,230,8,0,0,46,43,33,10,1,70,4,46,1,0,0,308,14,7,57,0,14,74,46,4,6,11,12,11,4,1,0,138
-1971.778086_3245.402956,1,4,42,32,6,54,41,124,3,1,34,6,17,0,0,20,104,20,23,19,17,11,13,1,1,26,2,12,9,0,9,0,224,65,1,0,8,86,0,0,25,7,31,1,5,43,11,163,16,486,10,7,2,39,1,39,18,61,0,1,10,111,34,24,5,6,6,2,6,4,45,53,14,117,112,1,3,127,7,48,10,7,25,6,1,2,14,26,34,20,2,82,12,119,18,158,13,11,16,18,15,1,20,55,19,4,1,120,39,54,4,6,41,8,31,0,1,4,90,35,18,71,2,31,82,93,7,58,11,10,51,32,4,1,58
-1971.778086_3345.402956,1,0,7,73,1,11,18,83,1,2,12,1,10,0,2,20,52,30,16,18,34,4,2,1,6,23,2,9,2,1,5,2,42,21,2,0,2,71,9,0,83,4,3,2,7,0,4,72,4,203,2,1,1,2,0,46,18,38,5,1,39,35,14,79,10,6,1,2,0,0,10,18,3,3,35,0,5,164,4,19,26,3,12,4,1,0,11,28,13,6,4,48,8,70,17,4,12,20,10,3,8,1,27,5,15,0,1,52,16,55,29,11,333,0,53,0,0,0,1,67,0,19,0,4,49,61,0,4,5,1,13,2,7,0,161
-1971.778086_3445.402956,0,0,30,99,6,19,50,82,3,1,32,5,14,5,5,5,79,16,12,28,37,7,7,2,1,28,1,9,8,0,1,1,103,36,1,0,7,62,0,5,80,1,20,0,5,1,6,59,11,236,2,2,0,2,1,80,35,98,7,1,30,39,16,163,18,13,1,0,1,0,16,19,5,2,53,2,2,294,15,50,2,6,31,11,13,1,8,9,52,5,10,56,2,96,30,57,16,23,26,8,25,1,11,2,14,8,1,7,25,88,16,4,195,1,30,0,1,4,3,12,9,38,1,9,10,110,7,16,6,8,28,17,7,2,93
-1971.778086_3545.402956,0,2,47,28,5,45,32,51,2,0,32,5,12,1,18,29,114,24,16,12,9,11,10,1,6,68,1,15,4,2,5,2,83,64,2,3,3,47,1,3,52,26,11,0,2,16,3,80,15,214,2,4,1,15,3,83,39,77,4,3,3,54,22,64,10,5,3,4,4,1,15,19,3,4,101,1,6,188,33,37,5,9,24,7,30,0,12,13,26,5,2,66,1,138,52,6,24,22,18,22,18,7,11,18,23,9,5,11,27,64,20,2,156,5,30,2,0,3,4,22,13,32,4,9,7,72,2,25,8,8,39,8,11,1,121
-1971.778086_3645.402956,2,1,55,44,10,54,112,103,2,1,47,11,3,8,188,18,115,29,40,12,68,18,2,10,12,119,2,40,15,12,3,2,216,59,1,2,10,68,3,6,4,40,24,5,9,74,4,122,26,447,9,9,1,46,3,24,35,187,11,10,19,108,40,180,14,11,13,4,2,2,8,23,16,9,144,3,8,86,27,82,6,24,21,2,19,1,9,14,2,10,25,75,0,244,84,74,58,5,14,39,43,8,38,57,34,1,2,17,20,87,7,15,16,8,86,0,0,9,90,36,12,48,1,3,23,191,18,69,7,14,41,49,10,10,45
