"","Inhibitory","Excitatory","OD","Microglia","Endothelial","Astrocyte"
"-1971.778086_2745.402956",0.335815482739235,0.0390652303259654,0.0663745849750344,0.266601685667912,0.173359818511425,0.118783197780428
"-1971.778086_2845.402956",0.127546712148717,0.0484402204953831,0.121045185022009,0.186805794424823,0.42075938231715,0.0954027055919186
"-1971.778086_2945.402956",0.139892828779936,0.0424622564479187,0.0198299855154683,0.2069244498517,0.188647311601937,0.402243167803039
"-1971.778086_3045.402956",0.24689077523559,0.0437182973466169,0.142312260449985,0.200452376751526,0.325013020348933,0.0416132698673487
"-1971.778086_3145.402956",0.0333931771129333,0.032735514412432,0.0545548865903668,0.143153649668075,0.647854920383816,0.0883078518323772
"-1971.778086_3245.402956",0.269008998926586,0.053233801266437,0.0537528639299376,0.232812021750154,0.273378731498765,0.117813582628121
"-1971.778086_3345.402956",0.219454335439616,0.0651824571932608,0.199676373999978,0.262348564386223,0.181499442816216,0.0718388261647064
"-1971.778086_3445.402956",0.197482796714753,0.0678143383848198,0.206878485755762,0.255137926903498,0.185980293509876,0.086706158731292
"-1971.778086_3545.402956",0.191432538283998,0.083860625457072,0.128924808971248,0.252466187736252,0.192457318166236,0.150858521385194
"-1971.778086_3645.402956",0.226214586209827,0.0938517270499627,0.0113327160386379,0.254843414545466,0.291915563031888,0.121841993124219
"-1971.778086_3745.402956",0.282635622050636,0.0798556463578079,0.01511533128031,0.30002784591819,0.153830952157641,0.168534602235414
"-1971.778086_3845.402956",0.162530229351994,0.12928860861804,0.118054368496453,0.290669232536717,0.179093690788461,0.120363870208335
"-1971.778086_3945.402956",0.229127958790777,0.0434234569131277,0.0170972107750936,0.244695569587683,0.351809996808692,0.113845807124626
"-1971.778086_4045.402956",0.125593769857447,0.178564730882902,0.0537487907246025,0.24311079761243,0.272925333479803,0.126056577442816
"-1971.778086_4145.402956",0.10549013034813,0.0820691465790367,0.121826942252495,0.204910812197514,0.352103741709823,0.133599226913
"-1971.778086_4245.402956",0.159745126092663,0.0584040486511224,0.00657930223196182,0.2085590618193,0.426105212098865,0.140607249106088
"-2071.778086_2745.402956",0.169584528265248,0.0663674414436363,0.0285651962793388,0.241008561042012,0.362719181418369,0.131755091551396
"-2071.778086_2845.402956",0.0680237752579807,0.092682741713049,0.0960541037784091,0.217715577339956,0.405942521032176,0.119581280878429
"-2071.778086_2945.402956",0.108709561880051,0.108891175032944,0.135956579116839,0.228582833628836,0.183065086680601,0.23479476366073
"-2071.778086_3045.402956",0.230237858483633,0.0562644988656244,0.00711144829070642,0.209775228473045,0.376463744520058,0.120147221366933
"-2071.778086_3145.402956",0.118011995768897,0.109992212926757,0.105290707816945,0.251358999507057,0.2999154489477,0.115430635032643
"-2071.778086_3245.402956",0.193886479832527,0.0497115186548347,0.0757781114733181,0.223946403200664,0.241284160556566,0.21539332628209
"-2071.778086_3345.402956",0.104326065240476,0.0450225443260005,0.0131679731260747,0.195732566662806,0.36839466410713,0.273356186537513
"-2071.778086_3445.402956",0.261995153038781,0.0621493821583705,0.0138428234622298,0.245997686571327,0.141233787632469,0.274781167136822
"-2071.778086_3545.402956",0.238012799163552,0.0895382839123677,0.0631572789667295,0.298353364231751,0.191712004235481,0.119226269490119
"-2071.778086_3645.402956",0.135708859953113,0.0483609204001825,0.0245420033397369,0.207808963889863,0.462371603507765,0.121207648909339
"-2071.778086_3745.402956",0.0999695023098883,0.0743063731979022,0.0299845307890651,0.217771115586648,0.444815866162432,0.133152611954065
"-2071.778086_3845.402956",0.238400787366615,0.0990071012004368,0.0180536943887433,0.265590288228242,0.234774687261788,0.144173441554175
"-2071.778086_3945.402956",0.207733006632036,0.124677086815674,0.0141139497636494,0.285645060102896,0.224579422675667,0.143251474010077
"-2071.778086_4045.402956",0.173746471390439,0.138691391770294,0.015173929497401,0.268116954896792,0.162014452416743,0.242256800028332
"-2071.778086_4145.402956",0.374353724171149,0.099278607877985,0.0148925143362646,0.343166200817393,0.133856746743899,0.0344522060533097
"-2071.778086_4245.402956",0.20405448626405,0.171392181470274,0.0114251337220206,0.285648934137104,0.110384772285831,0.217094492120721
"-2171.778086_2745.402956",0.0996718501885723,0.0591396896423163,0.112074682701983,0.230696101827655,0.249083751611327,0.249333924028146
"-2171.778086_2845.402956",0.0967587314861965,0.052241333419499,0.0173301804002695,0.172992664036642,0.57017370244751,0.0905033882098828
"-2171.778086_2945.402956",0.190886345002411,0.103187877387714,0.0827574103216265,0.243218413382766,0.264641492065201,0.115308461840282
"-2171.778086_3045.402956",0.185275543436895,0.065254378140076,0.00356922864941757,0.212782186518706,0.293814748178611,0.239303915076295
