,Astrocyte,Endothelial,Excitatory,Inhibitory,Microglia,OD
-1971.778086_2745.402956,0.1535882,0.14362149,0.17592545,0.325379,0.13962318,0.06186273
-1971.778086_2845.402956,0.13537613,0.20574969,0.23426113,0.16698416,0.14405464,0.11357431
-1971.778086_2945.402956,0.35997203,0.15326314,0.13455698,0.17313701,0.14009249,0.038978435
-1971.778086_3045.402956,0.10052051,0.17846073,0.21415557,0.22410512,0.11579156,0.16696645
-1971.778086_3145.402956,0.15983614,0.40266553,0.12727663,0.104726404,0.11729424,0.088201135
-1971.778086_3245.402956,0.14040925,0.15211003,0.17024608,0.17920163,0.29616806,0.061864913
-1971.778086_3345.402956,0.07773791,0.15155518,0.20888269,0.24324459,0.16867368,0.14990592
-1971.778086_3445.402956,0.12758328,0.10926946,0.20133248,0.26144835,0.13519286,0.16517355
-1971.778086_3545.402956,0.15309577,0.10069948,0.23063548,0.25282103,0.15330087,0.109447375
-1971.778086_3645.402956,0.15397,0.15771462,0.24165396,0.24250424,0.17431581,0.029841356
-1971.778086_3745.402956,0.19196329,0.1158388,0.24870881,0.31509033,0.109077625,0.019321062
-1971.778086_3845.402956,0.15836994,0.114251725,0.25281417,0.2349006,0.14264424,0.097019315
-1971.778086_3945.402956,0.1441768,0.13519344,0.21645278,0.26322782,0.21216138,0.02878779
-1971.778086_4045.402956,0.15125151,0.13609228,0.29195285,0.2311502,0.13685277,0.052700434
-1971.778086_4145.402956,0.17590325,0.18467584,0.20037673,0.21102175,0.103466995,0.1245554
-1971.778086_4245.402956,0.17265499,0.18688829,0.206548,0.2470026,0.1589443,0.02796185
-2071.778086_2745.402956,0.15910381,0.14925694,0.25255835,0.19100012,0.20494303,0.043137845
-2071.778086_2845.402956,0.16490585,0.18797055,0.21800923,0.1742645,0.16118912,0.09366082
-2071.778086_2945.402956,0.24176475,0.114550054,0.1938986,0.19054604,0.102647215,0.15659332
-2071.778086_3045.402956,0.15822114,0.23677203,0.27261654,0.19009934,0.12203899,0.020251988
-2071.778086_3145.402956,0.12625813,0.13904092,0.284139,0.18399316,0.16111505,0.10545373
-2071.778086_3245.402956,0.28538266,0.1424582,0.14996588,0.19705276,0.13893089,0.086209595
-2071.778086_3345.402956,0.29566732,0.20842734,0.17564009,0.1862578,0.10246469,0.031542696
-2071.778086_3445.402956,0.27377707,0.09000562,0.22900441,0.2529643,0.13053347,0.023715157
-2071.778086_3545.402956,0.12672985,0.15862426,0.27231616,0.26705652,0.13592595,0.039347272
-2071.778086_3645.402956,0.1824504,0.19574349,0.18477264,0.2308324,0.17093976,0.035261285
-2071.778086_3745.402956,0.16360033,0.21644382,0.19264016,0.23083882,0.15970832,0.036768533
-2071.778086_3845.402956,0.17123003,0.14248163,0.25543594,0.2777511,0.12841837,0.024682922
-2071.778086_3945.402956,0.12397475,0.13886155,0.21097389,0.3233263,0.17668082,0.026182732
-2071.778086_4045.402956,0.19533202,0.13220228,0.21903592,0.24109916,0.18215077,0.030179858
-2071.778086_4145.402956,0.042197563,0.07082488,0.30050638,0.35660762,0.21491489,0.014948688
-2071.778086_4245.402956,0.18831728,0.100980334,0.23872823,0.30717707,0.13850696,0.02629004
-2171.778086_2745.402956,0.26187328,0.14278136,0.17543036,0.1855182,0.10641359,0.12798317
-2171.778086_2845.402956,0.166918,0.2436663,0.22195973,0.18252727,0.13587618,0.049052514
-2171.778086_2945.402956,0.15972498,0.14684826,0.20451052,0.24135727,0.16133653,0.08622245
-2171.778086_3045.402956,0.20232454,0.1908088,0.12709266,0.17498988,0.28343794,0.02134619
-2171.778086_3145.402956,0.16896111,0.18408588,0.2604351,0.15977247,0.1332098,0.09353563
-2171.778086_3245.402956,0.22708768,0.1988055,0.17289065,0.116641544,0.20505562,0.079519086
-2171.778086_3345.402956,0.21413964,0.18459049,0.18290332,0.24249518,0.1242083,0.051662996
-2171.778086_3445.402956,0.14167188,0.11263496,0.33410436,0.26878622,0.11687045,0.025932174
-2171.778086_3545.402956,0.17972891,0.15925926,0.25884858,0.24517919,0.13653956,0.020444486
-2171.778086_3645.402956,0.16088444,0.14298397,0.21758218,0.31490067,0.14084676,0.02280191
-2171.778086_3745.402956,0.23553672,0.16182946,0.21400663,0.21790962,0.118753955,0.051963624
-2171.778086_3845.402956,0.23589532,0.15916757,0.19878533,0.22322856,0.1480158,0.03490736
-2171.778086_3945.402956,0.18086359,0.20807253,0.17370488,0.21334763,0.14815213,0.07585918
-2171.778086_4045.402956,0.2779914,0.096796885,0.19257028,0.21073778,0.110613205,0.11129036
-2171.778086_4145.402956,0.23427859,0.19469579,0.14662996,0.22560373,0.12353586,0.07525604
