,Excitatory,Microglia,OD,Inhibitory,Endothelial,Astrocyte
-1971.778086_2745.402956,0.2943963,0.018435089,0.5294187,0.080011204,0.04779696,0.029941745
-1971.778086_2845.402956,0.24051818,0.007349106,0.509046,0.013536262,0.19568117,0.033869237
-1971.778086_2945.402956,0.20590176,0.02969821,0.46785268,0.019308018,0.08654126,0.19069816
-1971.778086_3045.402956,0.13166714,0.005625807,0.67918366,0.07493045,0.10244634,0.006146695
-1971.778086_3145.402956,0.021577196,0.011253107,0.34567627,0.008454158,0.5946065,0.01843269
-1971.778086_3245.402956,0.14738971,0.027691005,0.6689177,0.06328449,0.07805404,0.014663014
-1971.778086_3345.402956,0.076514594,0.013577884,0.8377771,0.048101574,0.010292184,0.013736765
-1971.778086_3445.402956,0.11915763,0.002931991,0.79909915,0.022735072,0.005188746,0.050887384
-1971.778086_3545.402956,0.26035768,0.007238449,0.6539808,0.026505047,0.023399308,0.028518723
-1971.778086_3645.402956,0.4526553,0.11266298,0.27276552,0.011425468,0.131688,0.018802723
-1971.778086_3745.402956,0.56179255,0.014761013,0.3219888,0.029080003,0.009235988,0.063141644
-1971.778086_3845.402956,0.38404658,0.005909924,0.56328124,0.011756779,0.003571168,0.031434357
-1971.778086_3945.402956,0.35883987,0.14490661,0.22693656,0.022244312,0.2293186,0.017754046
-1971.778086_4045.402956,0.471861,0.005416444,0.40438536,0.003590629,0.034954596,0.07979197
-1971.778086_4145.402956,0.20887627,0.001988421,0.5957345,0.015137755,0.11555249,0.06271054
-1971.778086_4245.402956,0.41485783,0.14217971,0.11417085,0.026023608,0.26655653,0.03621142
-2071.778086_2745.402956,0.3849699,0.092247404,0.35121676,0.00520083,0.14626263,0.020102508
-2071.778086_2845.402956,0.21189745,0.011439369,0.64344186,0.001775036,0.11183288,0.019613426
-2071.778086_2945.402956,0.1552483,0.003513046,0.69839483,0.008838243,0.020192487,0.11381309
-2071.778086_3045.402956,0.35824513,0.07445396,0.21342006,0.015006081,0.29934126,0.039533507
-2071.778086_3145.402956,0.32076094,0.015198344,0.61241853,0.002827502,0.038981933,0.009812689
-2071.778086_3245.402956,0.13526464,0.015249454,0.5690554,0.062299702,0.08287939,0.13525148
-2071.778086_3345.402956,0.05439501,0.047284808,0.25032148,0.002731112,0.5250115,0.12025612
-2071.778086_3445.402956,0.3658663,0.011838661,0.3872538,0.038328703,0.017477792,0.17923474
-2071.778086_3545.402956,0.33739403,0.021728175,0.57266843,0.028879311,0.01763426,0.021695843
-2071.778086_3645.402956,0.119935445,0.03642059,0.3563707,0.025258873,0.42154166,0.04047268
-2071.778086_3745.402956,0.14308278,0.042045314,0.37862644,0.006032825,0.41374955,0.016463116
-2071.778086_3845.402956,0.51042867,0.111948885,0.23823622,0.023512067,0.082588874,0.033285294
-2071.778086_3945.402956,0.64521664,0.1363397,0.11102988,0.015790194,0.06669645,0.024927163
-2071.778086_4045.402956,0.5644236,0.040809907,0.21051545,0.030592926,0.017345103,0.13631299
-2071.778086_4145.402956,0.40446052,0.23143667,0.31323496,0.0360977,0.01345367,0.001316469
-2071.778086_4245.402956,0.500376,0.039953228,0.3406862,0.013947111,0.004805671,0.10023177
-2171.778086_2745.402956,0.19319232,0.007815273,0.64780074,0.00701991,0.055852298,0.088319466
-2171.778086_2845.402956,0.14383171,0.06506462,0.2576551,0.009773857,0.5064128,0.017261878
-2171.778086_2945.402956,0.21412627,0.050022587,0.6550477,0.024995727,0.037756003,0.018051608
-2171.778086_3045.402956,0.30431846,0.21868776,0.22605172,0.005503499,0.20319405,0.042244464
-2171.778086_3145.402956,0.3095197,0.016454857,0.5529058,0.009019258,0.07767482,0.034425557
-2171.778086_3245.402956,0.17024852,0.029428372,0.49184215,0.004423585,0.2729012,0.031156164
-2171.778086_3345.402956,0.15772498,0.006907611,0.61047333,0.013672119,0.11876733,0.09245463
-2171.778086_3445.402956,0.75766456,0.029343212,0.1302352,0.002764541,0.056552768,0.0234397
-2171.778086_3545.402956,0.5817653,0.03824833,0.17597003,0.004864285,0.1462386,0.052913427
-2171.778086_3645.402956,0.4604131,0.06503596,0.40918824,0.026240809,0.012282934,0.026838893
-2171.778086_3745.402956,0.16852611,0.007173437,0.6592278,0.003219196,0.040688843,0.121164635
-2171.778086_3845.402956,0.39622718,0.019538676,0.38498142,0.020596422,0.11968887,0.05896747
-2171.778086_3945.402956,0.0919939,0.000483299,0.6415673,0.030385338,0.11071637,0.12485376
-2171.778086_4045.402956,0.2886931,0.002862584,0.5491784,0.017651308,0.005085705,0.13652888
-2171.778086_4145.402956,0.08975572,0.007220781,0.55884176,0.022640938,0.27203995,0.04950084
-2171.778086_4245.402956,0.23748235,0.004289362,0.66272885,0.035321202,0.007068676,0.053109672
-2271.778086_2745.402956,0.042675316,0.038422205,0.5963301,0.005460985,0.015132889,0.30197847
-2271.778086_2845.402956,0.34564373,0.019155165,0.48205742,0.009491178,0.13269417,0.010958319
-2271.778086_2945.402956,0.32357445,0.019948652,0.38349682,0.017967211,0.19516589,0.059846982
-2271.778086_3045.402956,0.36565977,0.007475068,0.588598,0.024967652,0.006933475,0.006365995
-2271.778086_3145.402956,0.4036962,0.08615095,0.32423732,0.005294893,0.09841686,0.08220373
-2271.778086_3245.402956,0.38070378,0.025367342,0.53850454,0.002817019,0.014577827,0.038029436
-2271.778086_3345.402956,0.5891333,0.014515228,0.17259675,0.020068314,0.19278166,0.010904664
-2271.778086_3445.402956,0.20729649,0.000302806,0.705422,0.007590233,0.05399546,0.025393054
-2271.778086_3545.402956,0.630037,0.012633297,0.29492563,0.028609684,0.022458835,0.01133552
-2271.778086_3645.402956,0.21619274,0.026983466,0.6703128,0.007855929,0.048040435,0.030614575
-2271.778086_3745.402956,0.08119846,0.005551966,0.4613799,0.01624243,0.2888933,0.14673397
-2271.778086_3845.402956,0.14716573,0.01835027,0.4466221,0.08679873,0.2925327,0.00853049
-2271.778086_3945.402956,0.21650188,0.015488049,0.657335,0.026635474,0.008334619,0.075705
-2271.778086_4045.402956,0.22480665,0.06136139,0.26721814,0.032799266,0.29186994,0.12194459
-2271.778086_4145.402956,0.24946606,0.019041127,0.58539736,0.002846889,0.016038729,0.12720986
-2271.778086_4245.402956,0.033244293,0.007312923,0.8399402,0.005824024,0.06719326,0.04648532
-2371.778086_2745.402956,0.23213851,0.11591907,0.4286406,0.020205589,0.15957949,0.04351679
-2371.778086_2845.402956,0.08365386,0.035490744,0.3601102,0.001552207,0.5094796,0.009713404
-2371.778086_2945.402956,0.64573455,0.02210968,0.26730508,0.003968653,0.029513003,0.031369105
-2371.778086_3045.402956,0.601644,0.042758502,0.30926946,0.011908193,0.018602358,0.015817458
-2371.778086_3145.402956,0.6800369,0.02047412,0.2518314,0.007912639,0.008776319,0.030968612
-2371.778086_3245.402956,0.8003798,0.016612269,0.12110871,0.001411961,0.020191064,0.040296126
-2371.778086_3345.402956,0.35059613,0.0757866,0.3152743,0.001848968,0.24470118,0.011792807
-2371.778086_3445.402956,0.34633905,0.020623151,0.5831578,0.007627916,0.006819024,0.035433058
-2371.778086_3545.402956,0.6626524,0.011668288,0.15655255,0.019399986,0.108287714,0.041439027
-2371.778086_3645.402956,0.25645855,0.008983947,0.63233334,0.013753098,0.025474796,0.062996306
-2371.778086_3745.402956,0.17705481,0.015096019,0.6600116,0.018101892,0.014040432,0.11569523
-2371.778086_3845.402956,0.40630513,0.000863936,0.5131312,0.023326624,0.030675711,0.025697405
-2371.778086_3945.402956,0.43382964,0.1056416,0.23150155,0.015488268,0.2042459,0.009293031
-2371.778086_4045.402956,0.13588916,0.003970505,0.5829176,0.0332537,0.017613765,0.22635522
-2371.778086_4145.402956,0.17247517,0.002466491,0.68356687,0.005324198,0.029577726,0.106589586
-2371.778086_4245.402956,0.057391554,0.000956609,0.8833421,0.009226849,0.041905597,0.007177347
-2471.778086_2745.402956,0.300081,0.2732773,0.14287966,0.005605182,0.27320677,0.004950086
-2471.778086_2845.402956,0.31651506,0.053313557,0.21067056,0.000408316,0.40932834,0.009764118
-2471.778086_2945.402956,0.3668885,0.00360561,0.5703603,0.008933221,0.007687644,0.04252472
