,Inhibitory,Excitatory,OD,Microglia,Endothelial,Astrocyte
-1971.778086_2745.402956,2.34E-01,2.62E-01,3.27E-01,6.50E-02,7.94E-02,3.24E-02
-1971.778086_2845.402956,2.67E-02,3.51E-01,2.95E-01,8.41E-02,1.88E-01,5.49E-02
-1971.778086_2945.402956,2.16E-01,2.04E-01,3.50E-01,8.60E-02,1.03E-01,4.18E-02
-1971.778086_3045.402956,9.99E-02,2.76E-01,3.14E-01,9.72E-02,1.28E-01,8.54E-02
-1971.778086_3145.402956,1.10E-02,2.61E-01,2.33E-01,1.13E-01,2.42E-01,1.41E-01
-1971.778086_3245.402956,1.08E-01,1.53E-01,4.43E-01,1.02E-01,1.19E-01,7.45E-02
-1971.778086_3345.402956,7.96E-03,1.71E-01,2.19E-01,1.22E-01,2.11E-01,2.70E-01
-1971.778086_3445.402956,1.69E-02,1.53E-01,5.16E-01,7.63E-02,1.08E-01,1.29E-01
-1971.778086_3545.402956,9.37E-03,2.51E-01,2.19E-01,8.67E-02,1.32E-01,3.02E-01
-1971.778086_3645.402956,7.96E-03,2.59E-01,1.84E-01,1.15E-01,2.49E-01,1.85E-01
-1971.778086_3745.402956,1.16E-02,2.11E-01,2.93E-01,1.09E-01,1.95E-01,1.81E-01
-1971.778086_3845.402956,3.49E-02,3.04E-01,3.80E-01,7.59E-02,1.26E-01,7.94E-02
-1971.778086_3945.402956,7.59E-02,1.31E-01,3.79E-01,1.21E-01,1.18E-01,1.76E-01
-1971.778086_4045.402956,2.93E-02,3.38E-01,3.15E-01,8.25E-02,1.52E-01,8.34E-02
-1971.778086_4145.402956,2.71E-02,2.50E-01,3.22E-01,1.05E-01,1.80E-01,1.15E-01
-1971.778086_4245.402956,1.81E-01,1.47E-01,3.24E-01,1.31E-01,1.55E-01,6.28E-02
-2071.778086_2745.402956,2.22E-01,2.12E-01,3.17E-01,9.22E-02,1.21E-01,3.52E-02
-2071.778086_2845.402956,2.14E-02,2.27E-01,3.71E-01,1.00E-01,1.96E-01,8.37E-02
-2071.778086_2945.402956,3.94E-02,2.79E-01,4.01E-01,7.06E-02,9.40E-02,1.16E-01
-2071.778086_3045.402956,2.39E-01,2.33E-01,2.69E-01,9.40E-02,1.38E-01,2.73E-02
-2071.778086_3145.402956,6.57E-03,1.88E-01,6.07E-01,4.49E-02,9.17E-02,6.13E-02
-2071.778086_3245.402956,1.77E-02,2.24E-01,4.08E-01,8.06E-02,1.23E-01,1.46E-01
-2071.778086_3345.402956,1.61E-02,1.76E-01,2.46E-01,1.19E-01,1.66E-01,2.76E-01
-2071.778086_3445.402956,9.67E-04,1.63E-01,6.06E-01,3.40E-02,8.18E-02,1.14E-01
-2071.778086_3545.402956,6.03E-04,2.24E-01,7.64E-02,7.81E-02,2.25E-01,3.96E-01
-2071.778086_3645.402956,1.66E-02,1.68E-01,2.24E-01,1.53E-01,2.91E-01,1.48E-01
-2071.778086_3745.402956,2.43E-02,2.37E-01,2.72E-01,1.23E-01,2.33E-01,1.11E-01
-2071.778086_3845.402956,5.78E-02,2.44E-01,3.40E-01,1.07E-01,1.60E-01,9.09E-02
-2071.778086_3945.402956,1.60E-03,3.97E-01,2.30E-01,5.95E-02,2.17E-01,9.49E-02
-2071.778086_4045.402956,2.97E-02,2.30E-01,4.05E-01,8.55E-02,1.22E-01,1.28E-01
-2071.778086_4145.402956,1.93E-01,1.97E-01,3.36E-01,9.25E-02,8.74E-02,9.36E-02
-2071.778086_4245.402956,9.29E-02,2.36E-01,2.97E-01,1.11E-01,1.29E-01,1.34E-01
-2171.778086_2745.402956,6.43E-02,1.93E-01,3.87E-01,1.13E-01,1.68E-01,7.53E-02
-2171.778086_2845.402956,1.31E-01,1.27E-01,4.07E-01,1.19E-01,1.86E-01,2.92E-02
-2171.778086_2945.402956,8.95E-02,1.62E-01,3.23E-01,1.25E-01,1.27E-01,1.74E-01
-2171.778086_3045.402956,1.64E-01,1.55E-01,2.33E-01,1.44E-01,1.31E-01,1.71E-01
-2171.778086_3145.402956,3.77E-02,2.25E-01,2.90E-01,1.16E-01,1.60E-01,1.70E-01
-2171.778086_3245.402956,2.70E-02,2.31E-01,3.91E-01,9.37E-02,1.55E-01,1.03E-01
-2171.778086_3345.402956,1.58E-02,2.38E-01,2.55E-01,1.12E-01,1.90E-01,1.89E-01
-2171.778086_3445.402956,2.03E-03,3.59E-01,1.37E-01,8.20E-02,2.68E-01,1.51E-01
-2171.778086_3545.402956,5.40E-02,2.86E-01,3.22E-01,9.92E-02,1.79E-01,5.95E-02
-2171.778086_3645.402956,2.99E-02,2.63E-01,3.14E-01,1.03E-01,1.70E-01,1.19E-01
-2171.778086_3745.402956,2.36E-03,2.98E-01,3.36E-01,5.86E-02,1.45E-01,1.59E-01
-2171.778086_3845.402956,2.28E-02,3.38E-01,2.87E-01,8.76E-02,1.69E-01,9.50E-02
-2171.778086_3945.402956,3.97E-02,2.43E-01,3.51E-01,1.03E-01,1.62E-01,1.02E-01
-2171.778086_4045.402956,2.62E-02,2.72E-01,2.85E-01,8.00E-02,9.77E-02,2.39E-01
-2171.778086_4145.402956,1.49E-01,7.62E-02,3.69E-01,1.55E-01,2.16E-01,3.45E-02
-2171.778086_4245.402956,1.10E-01,1.03E-01,3.17E-01,1.70E-01,1.98E-01,1.02E-01
-2271.778086_2745.402956,6.97E-02,1.50E-01,3.87E-01,6.92E-02,4.87E-02,2.76E-01
-2271.778086_2845.402956,5.44E-02,2.42E-01,3.78E-01,8.12E-02,9.16E-02,1.53E-01
