,Astrocyte,Endothelial,Excitatory,Inhibitory,Microglia,OD
-1971.778086_2745.402956,0.1753476,0.07875043,0.12106531,0.3193822,0.08763876,0.21781574
-1971.778086_2845.402956,0.10262758,0.28466052,0.16919276,0.14206856,0.04172572,0.25972483
-1971.778086_2945.402956,0.57849693,0.082022935,0.10915048,0.096414864,0.044999048,0.08891577
-1971.778086_3045.402956,0.026394947,0.14424622,0.12052183,0.22811657,0.10803272,0.37268776
-1971.778086_3145.402956,0.14079566,0.47172442,0.08058844,0.0689811,0.080597915,0.15731244
-1971.778086_3245.402956,0.15744522,0.0942968,0.1842466,0.2914314,0.10745814,0.1651218
-1971.778086_3345.402956,0.020237934,0.022378491,0.16360448,0.18295401,0.19851732,0.41230774
-1971.778086_3445.402956,0.05696553,0.016986616,0.12615497,0.19008887,0.068917684,0.54088634
-1971.778086_3545.402956,0.117871806,0.061921675,0.21288869,0.20856878,0.048525263,0.3502238
-1971.778086_3645.402956,0.2176849,0.13569987,0.20572093,0.37849393,0.02295933,0.039441053
-1971.778086_3745.402956,0.3361414,0.0040285285,0.1795647,0.40861472,0.019781543,0.051869083
-1971.778086_3845.402956,0.1415087,0.006167974,0.21050307,0.13635616,0.05735347,0.4481106
-1971.778086_3945.402956,0.21207045,0.1521201,0.12350484,0.39386383,0.091735624,0.026705183
-1971.778086_4045.402956,0.23424743,0.10834394,0.19296621,0.20225336,0.024440074,0.23774895
-1971.778086_4145.402956,0.16545485,0.18170327,0.15613744,0.11278372,0.021214444,0.3627063
-1971.778086_4245.402956,0.19540484,0.27101272,0.18241735,0.2414227,0.1009469,0.008795364
-2071.778086_2745.402956,0.2179534,0.15180849,0.14850838,0.25220498,0.15400669,0.075518
-2071.778086_2845.402956,0.18028423,0.1975383,0.14368707,0.07278712,0.08429724,0.32140607
-2071.778086_2945.402956,0.22808631,0.048427504,0.14389996,0.14524521,0.06224921,0.37209177
-2071.778086_3045.402956,0.20772344,0.24280842,0.1866556,0.25493857,0.07066856,0.03720551
-2071.778086_3145.402956,0.09316256,0.10169944,0.18431945,0.17484227,0.10635575,0.33962047
-2071.778086_3245.402956,0.37279728,0.12516384,0.10807656,0.18592979,0.011205357,0.19682717
-2071.778086_3345.402956,0.5071943,0.27501208,0.1088194,0.07616634,0.0015709839,0.031236963
-2071.778086_3445.402956,0.41304123,0.01714031,0.17860538,0.30407023,0.0033071449,0.08383572
-2071.778086_3545.402956,0.069299296,0.07042095,0.21690965,0.36790293,0.039717723,0.23574941
-2071.778086_3645.402956,0.194114,0.33202896,0.17071247,0.20752591,0.030354476,0.06526413
-2071.778086_3745.402956,0.1908895,0.3745875,0.16583538,0.15921555,0.053983852,0.055488188
-2071.778086_3845.402956,0.26750615,0.08322365,0.20832123,0.3078173,0.10232301,0.030808657
-2071.778086_3945.402956,0.1439682,0.09692054,0.22753644,0.46363568,0.05254238,0.015396757
-2071.778086_4045.402956,0.362403,0.041076683,0.17952494,0.22162972,0.13730326,0.058062453
-2071.778086_4145.402956,0.009170928,0.012599839,0.28959382,0.4809815,0.15587221,0.05178173
-2071.778086_4245.402956,0.36263552,0.0016784699,0.25055915,0.29846698,0.032602508,0.0540573
-2171.778086_2745.402956,0.31816596,0.108319715,0.080632925,0.07076448,0.049070295,0.37304658
-2171.778086_2845.402956,0.22572082,0.37973282,0.18886589,0.15270044,0.014254317,0.038725704
-2171.778086_2945.402956,0.0838166,0.0969905,0.19842125,0.22885202,0.10482422,0.28709534
