,Astrocyte,Endothelial,Excitatory,Inhibitory,Microglia,OD
-1971.778086_2745.402956,0.20854357,0.012039805,0.139682507,0.282099796,0.170558567,0.187075754
-1971.778086_2845.402956,0.200448305,0.150670353,0.200141282,0.101232326,0.007073308,0.340434426
-1971.778086_2945.402956,0.656778114,0.03589767,0.087491394,0.118874149,0.054975639,0.045983034
-1971.778086_3045.402956,0.078524445,0.117406877,0.175953746,0.113541499,0.015757217,0.498816216
-1971.778086_3145.402956,0.277638686,0.225463942,0.007077789,0.090094661,0.165959596,0.233765326
-1971.778086_3245.402956,0.24209544,0.042479681,0.14541039,0.15485159,0.216421338,0.198741561
-1971.778086_3345.402956,0.114750048,0.000168908,0.04340407,0.204826699,0.206046603,0.430803671
-1971.778086_3445.402956,0.185041822,0.000376187,0.182651175,0.205430364,0.020977972,0.40552248
-1971.778086_3545.402956,0.273108542,0.000454478,0.14974564,0.214492066,0.050575086,0.311624187
-1971.778086_3645.402956,0.336710494,0.129502776,0.276593385,0.138221601,0.118835972,0.000135772
-1971.778086_3745.402956,0.359867109,0.00042199,0.438545552,0.14502237,0.055575251,0.000567728
-1971.778086_3845.402956,0.203888551,0.000249012,0.299442726,0.170666445,0.049508065,0.2762452
-1971.778086_3945.402956,0.262547817,0.035525943,0.20683484,0.170546335,0.324204192,0.000340872
-1971.778086_4045.402956,0.215854961,0.039225351,0.520032637,0.104044773,0.004476352,0.116365925
-1971.778086_4145.402956,0.253809182,0.118412302,0.115840141,0.184326321,0.0001294,0.327482655
-1971.778086_4245.402956,0.296190903,0.101441466,0.242062635,0.177075775,0.183127272,0.000101949
-2071.778086_2745.402956,0.322349823,0.090955134,0.195494172,0.103805903,0.276344089,0.011050879
-2071.778086_2845.402956,0.232431971,0.070497221,0.168058758,0.131584843,0.216735685,0.180691523
-2071.778086_2945.402956,0.430204126,9.20E-05,0.11004104,0.074521245,0.003261054,0.381880534
-2071.778086_3045.402956,0.354924897,0.212541674,0.304376417,0.081041128,0.046629246,0.000486638
-2071.778086_3145.402956,0.197269044,0.015787246,0.222934839,0.080189994,0.239253821,0.244565057
-2071.778086_3245.402956,0.48005173,0.042606556,0.12398773,0.160799753,0.024365503,0.168188728
-2071.778086_3345.402956,0.602778112,0.210439584,0.000263545,0.174852017,0.011403197,0.000263545
-2071.778086_3445.402956,0.613168532,0.000295408,0.180451866,0.176402127,0.001369096,0.028312971
-2071.778086_3545.402956,0.230853054,0.000274978,0.334225698,0.139045412,0.103821006,0.191779853
-2071.778086_3645.402956,0.353334737,0.166009995,0.081787459,0.234418486,0.132002461,0.032446861
-2071.778086_3745.402956,0.328543925,0.151670307,0.090784527,0.146225339,0.2431372,0.039638703
-2071.778086_3845.402956,0.324103832,0.034844484,0.360382165,0.173365965,0.106941495,0.000362058
-2071.778086_3945.402956,0.237617442,0.034561062,0.29039373,0.288775051,0.148565517,8.72E-05
-2071.778086_4045.402956,0.343748051,6.94E-05,0.271062361,0.191365244,0.177070809,0.016684139
-2071.778086_4145.402956,0.029344305,0.000520791,0.444713278,0.273987163,0.232347717,0.019086746
-2071.778086_4245.402956,0.36208055,0.000304168,0.398848,0.180764407,0.0188661,0.039136774
-2171.778086_2745.402956,0.478800114,0.00630713,0.000192089,0.094973228,0.107008881,0.312718559
-2171.778086_2845.402956,0.364153402,0.309719418,0.13670813,0.159090731,0.030079492,0.000248827
-2171.778086_2945.402956,0.247380893,0.003262552,0.111787473,0.176583176,0.171382066,0.289603841
-2171.778086_3045.402956,0.417381539,0.094276836,0.066901288,0.081084893,0.339854316,0.000501127
-2171.778086_3145.402956,0.279895862,0.053749917,0.289027517,0.068370874,0.087441681,0.221514149
-2171.778086_3245.402956,0.345334383,0.168513545,0.001225999,0.067850452,0.27790666,0.139168961
-2171.778086_3345.402956,0.414955865,0.114942915,0.245543671,0.092198484,0.018953422,0.113405644
-2171.778086_3445.402956,0.334560689,0.068856547,0.47401184,0.091738613,0.03070359,0.000128721
-2171.778086_3545.402956,0.364095745,0.096726211,0.421892797,0.091854833,0.025189345,0.000241068
-2171.778086_3645.402956,0.32270067,0.000168059,0.467513923,0.18050215,0.025681347,0.003433852
-2171.778086_3745.402956,0.487797235,0.044814514,0.156233155,0.099835,0.052547351,0.158772745
-2171.778086_3845.402956,0.490096314,0.093531194,0.218871726,0.13097501,0.009646955,0.056878801
-2171.778086_3945.402956,0.404156498,0.10107206,0.125453381,0.148071187,0.003142846,0.218104028
-2171.778086_4045.402956,0.396327214,0.0003407,0.243276615,0.143727072,0.012208657,0.204119742
-2171.778086_4145.402956,0.314203738,0.209029965,0.009347211,0.159762556,0.02388887,0.283767661
-2171.778086_4245.402956,0.23056837,0.000102872,0.300032964,0.109754731,0.021470542,0.33807052
-2271.778086_2745.402956,0.529605266,1.31E-07,1.31E-07,0.076545043,0.226806517,0.167042911
-2271.778086_2845.402956,0.324877212,0.119246271,0.093225705,0.175912018,0.24593406,0.040804734
-2271.778086_2945.402956,0.465409053,0.211149029,0.1271596,0.139044826,0.004766919,0.052470574
-2271.778086_3045.402956,0.126118669,6.58E-05,0.405631989,0.255936245,0.01589919,0.196348129
-2271.778086_3145.402956,0.433702958,0.049685921,0.167569056,0.087573837,0.261408039,6.02E-05
-2271.778086_3245.402956,0.302002446,0.000170046,0.271111937,0.084889155,0.246091419,0.095734996
-2271.778086_3345.402956,0.22328018,0.150699266,0.444717293,0.16547983,0.014470012,0.001353419
-2271.778086_3445.402956,0.201292002,0.087592957,0.306537225,0.108053959,0.024915932,0.271607924
