,Inhibitory,Excitatory,OD,Microglia,Endothelial,Astrocyte
-1971.778086_2745.402956,0.110637315,0.23307358,0.40975514,0.050458286,0.0950589,0.10101674
-1971.778086_2845.402956,0.044458196,0.21843566,0.4565851,0.048863262,0.123567306,0.10809051
-1971.778086_2945.402956,0.041674517,0.20664996,0.4453002,0.04552767,0.1027139,0.15813379
-1971.778086_3045.402956,0.059329495,0.18098007,0.5349673,0.039265014,0.12711257,0.05834554
-1971.778086_3145.402956,0.034851033,0.17975605,0.37161514,0.06028527,0.2721658,0.08132675
-1971.778086_3245.402956,0.060096946,0.2072974,0.47611764,0.05584019,0.12338014,0.077267714
-1971.778086_3345.402956,0.05387708,0.19481345,0.5142561,0.052079212,0.116942026,0.068032116
-1971.778086_3445.402956,0.05313823,0.17033432,0.56820685,0.03692239,0.10382912,0.06756918
-1971.778086_3545.402956,0.038081568,0.21231066,0.47540152,0.035212036,0.16132808,0.07766623
-1971.778086_3645.402956,0.055368915,0.24556889,0.4603228,0.027799418,0.12694615,0.08399376
-1971.778086_3745.402956,0.058289714,0.25642383,0.45412216,0.025081303,0.11719556,0.088887505
-1971.778086_3845.402956,0.050391063,0.25438485,0.46786365,0.0397409,0.107773885,0.07984566
-1971.778086_3945.402956,0.065568574,0.1819677,0.47515798,0.052605886,0.124725945,0.09997392
-1971.778086_4045.402956,0.04887117,0.32295316,0.3732512,0.046287667,0.12377421,0.084862635
-1971.778086_4145.402956,0.025756408,0.25830576,0.4601733,0.044324737,0.12750363,0.08393612
-1971.778086_4245.402956,0.05918689,0.23482278,0.42969796,0.045168646,0.13198255,0.09914117
-2071.778086_2745.402956,0.06108297,0.18686146,0.47244048,0.060740937,0.114885986,0.103988096
-2071.778086_2845.402956,0.031671677,0.26950842,0.48753345,0.0416372,0.102725685,0.066923425
-2071.778086_2945.402956,0.03646961,0.18824597,0.5316301,0.046489555,0.10782731,0.089337505
-2071.778086_3045.402956,0.06955283,0.2344038,0.39757225,0.03503159,0.15227911,0.11116039
-2071.778086_3145.402956,0.03500811,0.22485477,0.5688038,0.034192894,0.073035814,0.064104676
-2071.778086_3245.402956,0.051598452,0.1487547,0.47650167,0.036824204,0.12943882,0.15688214
-2071.778086_3345.402956,0.04780547,0.17425464,0.43515962,0.03851042,0.13852444,0.16574538
-2071.778086_3445.402956,0.06981173,0.21186619,0.4368521,0.03030862,0.11908144,0.13207987
-2071.778086_3545.402956,0.049770437,0.22349668,0.5117945,0.03227721,0.103289045,0.07937217
-2071.778086_3645.402956,0.04316709,0.194505,0.4427917,0.041829642,0.1839917,0.09371494
-2071.778086_3745.402956,0.040916454,0.18570301,0.45557302,0.041045543,0.18088384,0.09587818
-2071.778086_3845.402956,0.057297733,0.30066428,0.42657366,0.03332963,0.09710326,0.0850314
-2071.778086_3945.402956,0.053633142,0.22103332,0.46421483,0.038107652,0.122896545,0.10011453
-2071.778086_4045.402956,0.069625676,0.24438728,0.41952547,0.057216242,0.08961197,0.11963329
-2071.778086_4145.402956,0.08358426,0.2501915,0.42499265,0.05754686,0.09152873,0.09215589
-2071.778086_4245.402956,0.061252292,0.31173015,0.40798852,0.03307283,0.09331858,0.092637666
-2171.778086_2745.402956,0.04826666,0.19532737,0.48460448,0.043697983,0.10941834,0.11868508
-2171.778086_2845.402956,0.047364224,0.20130898,0.42625222,0.045723744,0.19982696,0.07952394
-2171.778086_2945.402956,0.04997735,0.1999072,0.47176,0.042193465,0.16083954,0.07532241
-2171.778086_3045.402956,0.04320059,0.25607437,0.4287215,0.03966456,0.13138844,0.10095057
-2171.778086_3145.402956,0.038751364,0.23302357,0.46107298,0.035201646,0.15142635,0.08052403
-2171.778086_3245.402956,0.036459062,0.15515077,0.48441362,0.052598897,0.1281545,0.14322315
