,Astrocyte,Endothelial,Excitatory,Inhibitory,Microglia,OD,res_ss
-1971.778086_2745.402956,0.177271378,0.120692421,0.104570215,0.301850372,0.1983784,0.097237214,0
-1971.778086_2845.402956,0.155868831,0.22145992,0.222206083,0.117683844,0.137318107,0.145463215,0
-1971.778086_2945.402956,0.365662866,0.146937947,0.091156478,0.108499662,0.219593403,0.068149645,0
-1971.778086_3045.402956,0.091948035,0.119016657,0.147795436,0.193523324,0.16108712,0.286629427,0
-1971.778086_3145.402956,0.178502679,0.345644353,0.097941468,0.093388345,0.177932545,0.10659061,0
-1971.778086_3245.402956,0.220398533,0.141635855,0.113911477,0.163662869,0.154898311,0.205492956,0
-1971.778086_3345.402956,0.07884577,0.055743198,0.131571924,0.182595268,0.262794694,0.288449146,0
-1971.778086_3445.402956,0.175039309,0.063948739,0.099525182,0.197767939,0.128494399,0.335224432,0
-1971.778086_3545.402956,0.192413574,0.099171385,0.146082858,0.201638425,0.129118559,0.231575199,0
-1971.778086_3645.402956,0.202380816,0.167804522,0.158253863,0.18557541,0.23186247,0.05412292,0
-1971.778086_3745.402956,0.239922695,0.151332026,0.192382563,0.237246819,0.124971096,0.054144801,0
-1971.778086_3845.402956,0.211090702,0.070097266,0.156358341,0.212748514,0.139104671,0.210600506,0
-1971.778086_3945.402956,0.185329415,0.189882682,0.187932566,0.215724716,0.161924994,0.059205628,0
-1971.778086_4045.402956,0.226959028,0.135479424,0.220799594,0.184025225,0.109821098,0.12291563,0
-1971.778086_4145.402956,0.241410038,0.181632108,0.116445562,0.16349435,0.125030539,0.171987403,0
-1971.778086_4245.402956,0.218751085,0.212711448,0.152637316,0.18931326,0.185915428,0.040671463,0
-2071.778086_2745.402956,0.241919419,0.211874752,0.173852463,0.153195227,0.126979658,0.092178481,0
-2071.778086_2845.402956,0.2224023,0.145617564,0.134898825,0.117434174,0.211951179,0.167695959,0
-2071.778086_2945.402956,0.287282616,0.072236619,0.104243517,0.132909982,0.144842893,0.258484373,0
-2071.778086_3045.402956,0.248759343,0.230977542,0.249072912,0.145166836,0.060886642,0.065136726,0
-2071.778086_3145.402956,0.196846309,0.150665182,0.167613382,0.141902072,0.101931757,0.241041298,0
-2071.778086_3245.402956,0.220938042,0.117407176,0.106770114,0.128413126,0.329376909,0.097094633,0
-2071.778086_3345.402956,0.313316028,0.219893262,0.058028606,0.133552525,0.20883468,0.066374899,0
-2071.778086_3445.402956,0.299001369,0.060780145,0.148638707,0.194297812,0.241920768,0.0553612,0
-2071.778086_3545.402956,0.16758387,0.143738532,0.243912415,0.271480227,0.071492502,0.101792454,0
-2071.778086_3645.402956,0.215375523,0.214122411,0.129116521,0.15228045,0.234175924,0.05492917,0
-2071.778086_3745.402956,0.193606147,0.302781233,0.103212093,0.161899517,0.190537038,0.047963972,0
-2071.778086_3845.402956,0.225805743,0.169853193,0.183461766,0.195216555,0.174387057,0.051275686,0
-2071.778086_3945.402956,0.158171447,0.1314387,0.152632841,0.190355083,0.3128878,0.05451413,0
-2071.778086_4045.402956,0.236901058,0.103423134,0.192923106,0.169544572,0.230583205,0.066624925,0
-2071.778086_4145.402956,0.100435659,0.142435027,0.238717478,0.293641105,0.11703588,0.10773485,0
-2071.778086_4245.402956,0.313233685,0.158964967,0.177619675,0.26258335,0.002789543,0.084808779,0
-2171.778086_2745.402956,0.277758078,0.120872351,0.108107253,0.110768079,0.2208975,0.161596739,0
-2171.778086_2845.402956,0.222938442,0.236068277,0.100701789,0.159072142,0.178148184,0.103071166,0
-2171.778086_2945.402956,0.218223222,0.10044684,0.125955832,0.169966198,0.152320073,0.233087835,0
-2171.778086_3045.402956,0.260828803,0.230768884,0.129475375,0.121705963,0.166666078,0.090554897,0
-2171.778086_3145.402956,0.206591938,0.171774131,0.144119894,0.133324106,0.158081911,0.18610802,0
-2171.778086_3245.402956,0.232891324,0.242082751,0.134722911,0.094750691,0.134655098,0.160897225,0
-2171.778086_3345.402956,0.270481145,0.20942715,0.147125859,0.165650755,0.108241907,0.099073185,0
-2171.778086_3445.402956,0.221232762,0.126231151,0.265007032,0.175937132,0.151178984,0.060412939,0
-2171.778086_3545.402956,0.230245493,0.187920445,0.200051347,0.161616205,0.163634186,0.056532324,0
-2171.778086_3645.402956,0.231058563,0.142610928,0.184786744,0.257633624,0.125598432,0.05831171,0
-2171.778086_3745.402956,0.260233517,0.147735696,0.162498893,0.151837799,0.190157689,0.087536407,0
-2171.778086_3845.402956,0.27876123,0.188960833,0.160681357,0.149994321,0.171657737,0.049944522,0
-2171.778086_3945.402956,0.216336468,0.152170731,0.118045724,0.15495431,0.22986322,0.128629546,0
-2171.778086_4045.402956,0.230371956,0.067056663,0.086093647,0.135960715,0.351839596,0.128677422,0
-2171.778086_4145.402956,0.24694368,0.226148077,0.082181864,0.163477218,0.131566572,0.149682589,0
-2171.778086_4245.402956,0.161154547,0.09723546,0.153982269,0.140429967,0.177443133,0.269754623,0
-2271.778086_2745.402956,0.281917322,0.102955666,0.0525813,0.103652412,0.314836344,0.144056956,0
-2271.778086_2845.402956,0.229075813,0.152610765,0.152324745,0.158555557,0.137949372,0.169483747,0
-2271.778086_2945.402956,0.232423391,0.180414126,0.145146425,0.172913787,0.152816076,0.116286195,0
-2271.778086_3045.402956,0.15710937,0.111406725,0.16434665,0.266638347,0.120627194,0.179871715,0
-2271.778086_3145.402956,0.280250166,0.151371784,0.182927435,0.202179386,0.121973996,0.061297232,0
-2271.778086_3245.402956,0.210984686,0.13058296,0.167521235,0.198966777,0.162173644,0.129770699,0
-2271.778086_3345.402956,0.166097616,0.183536184,0.229390733,0.205235687,0.143804991,0.071934789,0
-2271.778086_3445.402956,0.221080499,0.170894342,0.163965787,0.138636959,0.097003138,0.208419275,0
-2271.778086_3545.402956,0.17368369,0.109200396,0.235323897,0.242930363,0.184744961,0.054116692,0
-2271.778086_3645.402956,0.219548492,0.122053957,0.133240363,0.120608016,0.079583385,0.324965788,0
-2271.778086_3745.402956,0.203525819,0.224414238,0.080806778,0.132266758,0.265095068,0.09389134,0
-2271.778086_3845.402956,0.142031383,0.186658777,0.098881135,0.153617648,0.348145643,0.070665413,0
-2271.778086_3945.402956,0.162664533,0.095142164,0.1412249,0.136676136,0.324059218,0.140233049,0
-2271.778086_4045.402956,0.280644424,0.188604216,0.129806245,0.183682867,0.163812414,0.053449834,0
-2271.778086_4145.402956,0.225104138,0.066749319,0.11380481,0.096761089,0.364133845,0.1334468,0
-2271.778086_4245.402956,0.185420786,0.079018577,0.058899032,0.060208291,0.26808299,0.348370324,0
-2371.778086_2745.402956,0.267257599,0.180896362,0.073477459,0.183671759,0.21069512,0.084001701,0
-2371.778086_2845.402956,0.203322795,0.268739327,0.128752856,0.145660656,0.165883019,0.087641348,0
-2371.778086_2945.402956,0.293065341,0.098499063,0.233144554,0.182834499,0.127694481,0.064762062,0
-2371.778086_3045.402956,0.183439403,0.11348522,0.212012445,0.256866245,0.188554355,0.045642333,0
-2371.778086_3145.402956,0.233762177,0.132902896,0.248495631,0.211171392,0.108160527,0.065507376,0
-2371.778086_3245.402956,0.25925017,0.13154289,0.213402913,0.200440192,0.102567057,0.092796778,0
-2371.778086_3345.402956,0.219355339,0.186560871,0.188276171,0.203445132,0.150611539,0.051750948,0
-2371.778086_3445.402956,0.208905503,0.101076243,0.183952303,0.206782637,0.167204959,0.132078355,0
-2371.778086_3545.402956,0.237772197,0.175025437,0.18802739,0.246902625,0.1107282,0.04154415,0
-2371.778086_3645.402956,0.242030823,0.141702854,0.122329963,0.147992982,0.204399025,0.141544352,0
-2371.778086_3745.402956,0.205603709,0.089155194,0.112380985,0.178339368,0.285821357,0.128699386,0
-2371.778086_3845.402956,0.215824341,0.187525381,0.169955048,0.225405741,0.089702069,0.111587421,0
-2371.778086_3945.402956,0.185255879,0.231565712,0.149768932,0.192006932,0.137696306,0.103706239,0
