,Inhibitory,Endothelial,Astrocyte,Microglia,OD,Excitatory
-1971.778086_2745.402956,0.5,0,0.071428571,0.071428571,0.285714286,0.071428571
-1971.778086_2845.402956,0.069207426,0.335824317,0,0,0.421917061,0.173051197
-1971.778086_2945.402956,0.090913618,0.151220896,0,0.328895494,0.106865705,0.322104286
-1971.778086_3045.402956,0.052308447,0.324614421,0,0,0.507349193,0.115727939
-1971.778086_3145.402956,0,0.826556006,0,0,0.173443994,0
-1971.778086_3245.402956,0.0628201,0.20096551,0.146666145,0.316004291,0.120659819,0.152884135
-1971.778086_3345.402956,0.164475964,0,0.094346352,0,0.54191293,0.199264753
-1971.778086_3445.402956,0.317335236,0,0,0.103488696,0.496030715,0.083145354
-1971.778086_3545.402956,0.270704145,0,0,0,0.514136172,0.215159683
-1971.778086_3645.402956,0.622627868,0.192145176,0,0.102711456,0,0.0825155
-1971.778086_3745.402956,0.807954813,0,0,0,0,0.192045187
-1971.778086_3845.402956,0.215554138,0,0,0.149347149,0.266888243,0.36821047
-1971.778086_3945.402956,0.443050798,0.319286961,0.173800445,0.063861796,0,0
-1971.778086_4045.402956,0.236912358,0.129166221,0,0.287629657,0.143414437,0.202877327
-1971.778086_4145.402956,0,0.220668013,0,0.172574758,0.356645281,0.250111947
-1971.778086_4245.402956,0.312685798,0.413113704,0.156633414,0,0,0.117567084
-2071.778086_2745.402956,0.075370457,0.304554956,0.165171611,0.340336672,0,0.114566304
-2071.778086_2845.402956,0.101085393,0.230258168,0.080289138,0.161535237,0.232038059,0.194794006
-2071.778086_2945.402956,0,0,0,0.190469236,0.452957567,0.356573198
-2071.778086_3045.402956,0.169301585,0.677792575,0,0,0,0.15290584
-2071.778086_3145.402956,0.15614488,0.113431493,0.104301357,0.130799353,0.321484716,0.1738382
-2071.778086_3245.402956,0.290797956,0.17876314,0,0,0.341938251,0.188500653
-2071.778086_3345.402956,0.236745252,0.507306079,0,0,0,0.255948669
-2071.778086_3445.402956,0.761038591,0,0,0,0.108354875,0.130606534
-2071.778086_3545.402956,0.700973109,0,0,0,0.199380292,0.099646599
-2071.778086_3645.402956,0.327629154,0.415234691,0,0.062118094,0.057492686,0.137525374
-2071.778086_3745.402956,0.273829896,0.459940971,0,0,0.062618277,0.203610856
-2071.778086_3845.402956,0.410979091,0.090348258,0,0.262943105,0,0.235729546
-2071.778086_3945.402956,0.587029144,0.081826169,0,0.111799357,0,0.21934533
-2071.778086_4045.402956,0.346220791,0.065774729,0.281637365,0.098556605,0.059605955,0.148204555
-2071.778086_4145.402956,0.277460714,0,0.359683024,0.146525944,0,0.216330318
-2071.778086_4245.402956,0.468952858,0,0,0.281134527,0,0.249912614
-2171.778086_2745.402956,0.074441845,0.129940479,0,0.202949056,0.461709499,0.13095912
-2171.778086_2845.402956,0.1213508,0.625322849,0,0,0,0.253326352
-2171.778086_2945.402956,0.136020632,0.199006463,0,0.10795822,0.286506069,0.270508616
-2171.778086_3045.402956,0,0.361188422,0.187652023,0.218891288,0,0.232268267
-2171.778086_3145.402956,0.142905994,0.15299195,0,0.238712208,0.306179826,0.159210022
-2171.778086_3245.402956,0.086218866,0.406441783,0.206806857,0,0.116286803,0.184245692
-2171.778086_3345.402956,0.38136715,0.292823408,0,0.206068757,0.119740685,0
-2171.778086_3445.402956,0.647724616,0.112548159,0,0,0,0.239727226
-2171.778086_3545.402956,0.580150927,0.192897745,0,0.051559711,0,0.175391618
-2171.778086_3645.402956,0.93996394,0,0,0,0,0.06003606
-2171.778086_3745.402956,0.524210999,0.106659495,0,0,0.28627232,0.082857187
-2171.778086_3845.402956,0.363014377,0.326691024,0,0.129319766,0.06831155,0.112663283
-2171.778086_3945.402956,0.33111504,0.225748503,0,0.054765808,0.228373891,0.159996758
-2171.778086_4045.402956,0.270442368,0,0,0,0.41094899,0.318608642
-2171.778086_4145.402956,0,0.4279592,0,0.372872747,0.199168052,0
-2171.778086_4245.402956,0.080491201,0,0.358191439,0,0.410129892,0.151187467
-2271.778086_2745.402956,0.127909523,0,0.493526733,0,0.288695267,0.089868477
-2271.778086_2845.402956,0.218732941,0.147798349,0.141412996,0,0.074572715,0.417482998
-2271.778086_2945.402956,0.223481947,0.237476408,0,0,0.270174391,0.268867254
-2271.778086_3045.402956,0.461578902,0,0,0.154954895,0.090353746,0.293112456
-2271.778086_3145.402956,0.494578088,0.117120347,0.139201004,0.067786614,0,0.181313947
-2271.778086_3245.402956,0.463471554,0.06174151,0.089711917,0.15043709,0.166888565,0.067749364
-2271.778086_3345.402956,0.798909695,0.201090305,0,0,0,0
-2271.778086_3445.402956,0.380288934,0.177459295,0,0.065084487,0.238096327,0.139070957
-2271.778086_3545.402956,0.846457203,0,0,0,0,0.153542797
-2271.778086_3645.402956,0.219646587,0.088913453,0,0.119831396,0.346799806,0.224808758
-2271.778086_3745.402956,0.445109874,0.298635552,0,0,0.256254574,0
-2271.778086_3845.402956,0.421188656,0.452646668,0,0,0.126164676,0
-2271.778086_3945.402956,0.380705442,0,0.160669151,0,0.303378337,0.15524707
-2271.778086_4045.402956,0.246792923,0.303990364,0,0.153033782,0,0.296182931
-2271.778086_4145.402956,0,0,0.461478902,0,0.352048109,0.186472988
-2271.778086_4245.402956,0,0.109641719,0.21166075,0.062865573,0.615831958,0
-2371.778086_2745.402956,0.482728512,0.104057115,0,0.132404518,0,0.280809854
-2371.778086_2845.402956,0.127007011,0.660531856,0,0,0,0.212461134
-2371.778086_2945.402956,0.35027732,0.076726284,0,0.115188659,0,0.457807737
-2371.778086_3045.402956,0.829158206,0,0,0,0,0.170841794
-2371.778086_3145.402956,0.753545606,0,0,0.139974272,0,0.106480122
-2371.778086_3245.402956,0.692375159,0,0,0,0,0.307624841
-2371.778086_3345.402956,0.553297639,0.230105191,0,0,0.061581531,0.155015639
-2371.778086_3445.402956,0.539246129,0,0.17576487,0,0.09941488,0.185574121
-2371.778086_3545.402956,0.626421383,0.106898683,0,0,0,0.266679934
-2371.778086_3645.402956,0.45976989,0.119749588,0,0.213885699,0.206594822,0
-2371.778086_3745.402956,0.361771301,0,0,0.217712608,0.289036554,0.131479537
-2371.778086_3845.402956,0.424271784,0.103969106,0,0.168766096,0.101282321,0.201710694
-2371.778086_3945.402956,0.674859665,0.233110246,0,0,0,0.092030088
-2371.778086_4045.402956,0.31739628,0.056612111,0,0.166857975,0.293362283,0.16577135
-2371.778086_4145.402956,0,0.113187426,0.173977461,0,0.609646494,0.103188619
-2371.778086_4245.402956,0,0,0.199159078,0,0.800840922,0
-2471.778086_2745.402956,0.420385341,0.213049257,0.19192909,0.174636312,0,0
-2471.778086_2845.402956,0.308038605,0.24500807,0,0.054478815,0,0.392474511
-2471.778086_2945.402956,0.605364523,0,0,0.081140195,0.085893264,0.227602018
-2471.778086_3045.402956,0.523282269,0.241927937,0,0,0.133550893,0.1012389
-2471.778086_3145.402956,0.783559572,0,0,0.108462526,0,0.107977902
-2471.778086_3245.402956,0.815965347,0,0,0,0,0.184034653
-2471.778086_3345.402956,0.827517196,0,0,0.063342886,0,0.109139917
-2471.778086_3445.402956,0.428339794,0.379927638,0,0,0,0.191732569
-2471.778086_3545.402956,0.518389267,0.186163002,0,0,0,0.295447731
-2471.778086_3645.402956,0.37773724,0.209723313,0.075062607,0.135805496,0.131228995,0.07044235
-2471.778086_3745.402956,0.628667937,0,0,0,0,0.371332063
-2471.778086_3845.402956,0.372256492,0.424928,0,0.202815508,0,0
-2471.778086_3945.402956,0.4780496,0.157711465,0.110798392,0.114835528,0.138605015,0
-2471.778086_4045.402956,0,0.620506937,0.237487873,0.066497635,0.075507556,0
-2471.778086_4145.402956,0.070896568,0.580726873,0.126963152,0,0.221413407,0
-2471.778086_4245.402956,0,0.096805382,0,0.154167608,0.74902701,0
-2571.778086_2745.402956,0.903941019,0,0,0,0.096058981,0
-2571.778086_2845.402956,0.582785377,0.16272854,0,0.118116217,0.136369866,0
-2571.778086_2945.402956,0.627764035,0.247169717,0,0,0,0.125066248
-2571.778086_3045.402956,0.78161353,0.074401826,0,0,0,0.143984644
-2571.778086_3145.402956,0.64566685,0.217454634,0,0,0,0.136878515
-2571.778086_3245.402956,0.86594419,0,0,0.13405581,0,0
-2571.778086_3345.402956,0.631803022,0.221051375,0.066662044,0,0,0.080483559
-2571.778086_3445.402956,0.514162796,0.249746772,0,0,0.06882821,0.167262222
-2571.778086_3545.402956,0.430283376,0.2372441,0,0,0,0.332472523
-2571.778086_3645.402956,0.53684199,0.194752716,0.092225811,0,0,0.176179483
-2571.778086_3745.402956,0.455997749,0.157102667,0,0.3344047,0,0.052494885
-2571.778086_3845.402956,0.570211712,0.083597595,0.057154354,0.179092045,0,0.109944294
-2571.778086_3945.402956,0.410736147,0.388604482,0.10723606,0.093423311,0,0
-2571.778086_4045.402956,0,0,0,0.150228498,0.849771502,0
-2571.778086_4145.402956,0.115545812,0.235552396,0,0,0.648901792,0
-2571.778086_4245.402956,0.095946181,0,0,0,0.464039027,0.440014791
-2671.778086_2745.402956,0.420890006,0,0.375753042,0,0.133978358,0.069378594
-2671.778086_2845.402956,0.375287109,0,0,0.145693798,0.271997995,0.207021098
-2671.778086_2945.402956,0.29586194,0.263781844,0,0,0.383699175,0.056657042
-2671.778086_3045.402956,0.710079778,0.289920222,0,0,0,0
-2671.778086_3145.402956,0.569339243,0.140118108,0.290542648,0,0,0
-2671.778086_3245.402956,0.304771145,0,0,0.545420405,0,0.149808451
-2671.778086_3345.402956,0.922566744,0,0,0,0.077433256,0
-2671.778086_3445.402956,0.609897391,0.122938585,0,0,0.165112493,0.102051531
-2671.778086_3545.402956,0.703796165,0,0,0,0,0.296203835
-2671.778086_3645.402956,0.579078183,0.35521623,0,0,0,0.065705588
-2671.778086_3745.402956,0.743027743,0.187783071,0,0,0,0.069189186
-2671.778086_3845.402956,0.397446253,0.29006705,0,0,0,0.312486697
-2671.778086_3945.402956,0.132337137,0.172770656,0.104664988,0,0.509787679,0.08043954
-2671.778086_4045.402956,0,0,0,0,1,0
-2671.778086_4145.402956,0,0,0,0.06826825,0.93173175,0
-2671.778086_4245.402956,0,0,0,1,0,0
-2771.778086_2745.402956,0.729852617,0,0,0.056465053,0,0.21368233
-2771.778086_2845.402956,0.473114683,0.132225821,0.051879508,0,0.069688509,0.273091478
-2771.778086_2945.402956,0.18158581,0.318075107,0.088652528,0.411686555,0,0
-2771.778086_3045.402956,0.854637242,0.145362758,0,0,0,0
-2771.778086_3145.402956,0.708075383,0.144151769,0,0.147772848,0,0
-2771.778086_3245.402956,0.911831771,0,0.088168229,0,0,0
-2771.778086_3345.402956,0.760274395,0.239725605,0,0,0,0
-2771.778086_3445.402956,0.915891773,0.084108227,0,0,0,0
-2771.778086_3545.402956,0.819794924,0,0,0,0.094894554,0.085310522
-2771.778086_3645.402956,0.55017269,0.228809395,0.221017915,0,0,0
-2771.778086_3745.402956,0.646528847,0,0,0.169486299,0,0.183984854
-2771.778086_3845.402956,0.425241452,0.488905315,0,0,0,0.085853233
-2771.778086_3945.402956,0.087465632,0.085493436,0,0,0.744388028,0.082652903
-2771.778086_4045.402956,0,0,0,0,1,0
-2771.778086_4145.402956,0,0.051541748,0,0,0.948458252,0
-2771.778086_4245.402956,0,0,1,0,0,0
-2871.778086_2745.402956,0.729043396,0.120998655,0,0,0,0.149957949
-2871.778086_2845.402956,0.795134685,0,0,0.123622048,0.081243267,0
-2871.778086_2945.402956,0.799579746,0.054210188,0,0.066699384,0,0.079510681
-2871.778086_3045.402956,0.810327606,0.133674956,0,0,0,0.055997438
-2871.778086_3145.402956,0.752177358,0,0.05125797,0,0,0.196564672
-2871.778086_3245.402956,0.770995918,0.088058788,0.072635816,0,0,0.068309478
-2871.778086_3345.402956,0.81550491,0,0,0,0,0.18449509
-2871.778086_3445.402956,0.708386333,0,0,0,0.228796441,0.062817226
-2871.778086_3545.402956,0.33971468,0,0.105800283,0.231891784,0.173754248,0.148839006
-2871.778086_3645.402956,0.320959024,0.073836907,0,0.225436462,0.223215078,0.156552529
-2871.778086_3745.402956,0.631633307,0.163387696,0,0.061944823,0,0.143034174
-2871.778086_3845.402956,0.516878282,0.382759578,0,0,0,0.10036214
-2871.778086_3945.402956,0.181960494,0.128890269,0,0.371885921,0.241590071,0.075673246
-2871.778086_4045.402956,0,0,0.061561024,0,0.938438976,0
-2871.778086_4145.402956,0,0,0.053121512,0,0.946878488,0
-2871.778086_4245.402956,0,1,0,0,0,0
