,Inhibitory,Excitatory,OD,Microglia,Endothelial,Astrocyte
-1971.778086_2745.402956,0.568212486,0.06001546,0.041950232,0.056566661,0.273255161,0
-1971.778086_2845.402956,0.568907998,0.114412222,0.062822117,0,0.214061212,0.039796451
-1971.778086_2945.402956,0.494937777,0.100323936,0.340350442,0,0.050713978,0.013673867
-1971.778086_3045.402956,0.421284896,0.12979733,0.154618173,0.050739955,0.243559647,0
-1971.778086_3145.402956,0.259778423,0.467183631,0.195557693,0.003744649,0.042445132,0.031290472
-1971.778086_3245.402956,0.570396494,0.105164428,0.059681031,0.003741439,0.225846381,0.035170227
-1971.778086_3345.402956,0.036257344,0.253351131,0.252213872,0.237218386,0.220959267,0
-1971.778086_3445.402956,0.088228536,0.477285666,0.150088129,0.070654946,0.213742723,0
-1971.778086_3545.402956,0.510774744,0.080015342,0.10245769,0,0.306752224,0
-1971.778086_3645.402956,0.305993433,0.030614321,0.559149409,0.057924429,0.029829015,0.016489392
-1971.778086_3745.402956,0,0.269737435,0.101268305,0.278347292,0.314116921,0.036530046
-1971.778086_3845.402956,0.021309701,0.174900534,0.34692451,0.037112379,0.419752876,0
-1971.778086_3945.402956,0,0.017807957,0.869581869,0.023352217,0.089257958,0
-1971.778086_4045.402956,0.4879384,0.009939527,0.075742284,0,0.426379788,0
-1971.778086_4145.402956,0.685130624,0.056518436,0.06962714,0.012968353,0.171674499,0.004080948
-1971.778086_4245.402956,0.18943885,0.020084696,0.771945828,0,0.018530626,0
-2071.778086_2745.402956,0.486315995,0.042884897,0.282477154,0.042129055,0.139044665,0.007148234
-2071.778086_2845.402956,0.369405121,0.066950191,0.486935513,0,0.076709175,0
-2071.778086_2945.402956,0.166718616,0.523811849,0.174552506,0.012320061,0.031210872,0.091386095
-2071.778086_3045.402956,0.003094223,0.800243866,0.169037357,0.004781301,0.014934958,0.007908295
-2071.778086_3145.402956,0.428153293,0.203665528,0.214698278,0.06048463,0.092998271,0
-2071.778086_3245.402956,0.152989502,0.055630135,0.444095546,0.053149998,0.284664479,0.00947034
-2071.778086_3345.402956,0.454691535,0.187285433,0.201218232,0.015743539,0.088722189,0.052339073
-2071.778086_3445.402956,0.063872785,0.293652324,0.167561613,0.03910467,0.374189298,0.061619309
-2071.778086_3545.402956,0,0.092365789,0.190319602,0.310984386,0.406330222,0
-2071.778086_3645.402956,0.550143374,0.103829361,0.201303093,0.017022486,0.127701685,0
-2071.778086_3745.402956,0.401332228,0.114618836,0.382565647,0.046098863,0.055384427,0
-2071.778086_3845.402956,0.236451282,0,0.689162824,0.012487569,0.061898326,0
-2071.778086_3945.402956,0.075684049,0.070095743,0.525252806,0.064366642,0.24590387,0.01869689
-2071.778086_4045.402956,0.042950246,0.015044666,0.887278209,0.017428245,0.037298635,0
-2071.778086_4145.402956,0.354872911,0.125235609,0.452434386,0.026024995,0.024825259,0.01660684
-2071.778086_4245.402956,0.023887029,0.202083567,0.076959869,0.358956755,0.338112779,0
-2171.778086_2745.402956,0.208233747,0.659541369,0.024295393,0.001541554,0.098020713,0.008367224
-2171.778086_2845.402956,0.320678183,0.266957471,0.248097694,0.077196224,0.087070428,0
-2171.778086_2945.402956,0.506091543,0.177807327,0.102209838,0.015894844,0.197996447,0
-2171.778086_3045.402956,0.056531662,0.842995539,0.055940555,0,0.027959613,0.01657263
-2171.778086_3145.402956,0.066985012,0.540718226,0.119159737,0.044672648,0.209969124,0.018495253
-2171.778086_3245.402956,0.072448984,0.838959789,0.064128169,0.024463058,0,0
-2171.778086_3345.402956,0.689526187,0.072024536,0.14000979,0.001396596,0.097042891,0
-2171.778086_3445.402956,0.072852182,0.018055201,0.519058367,0.112726997,0.269520837,0.007786416
-2171.778086_3545.402956,0.430698323,0.139919222,0.188735526,0.05469855,0.168243728,0.017704651
-2171.778086_3645.402956,0,0.25275744,0.444838324,0.04356368,0.235606168,0.023234387
-2171.778086_3745.402956,0.438362612,0.111735358,0.308264979,0,0.133751533,0.007885518
-2171.778086_3845.402956,0,0.055042647,0.766845398,0.042957911,0.125878025,0.009276019
-2171.778086_3945.402956,0.136527381,0.040528746,0.187131169,0.173225417,0.430698816,0.031888472
-2171.778086_4045.402956,0.284214036,0.190325626,0.211710374,0.110142379,0.203607586,0
-2171.778086_4145.402956,0.268307072,0.500435746,0.077391803,0,0.11220461,0.041660768
-2171.778086_4245.402956,0.003998889,0.138630244,0.225963355,0.070611511,0.560796002,0
-2271.778086_2745.402956,0.204409691,0.39669531,0.062598979,0.058524326,0.227652377,0.050119318
-2271.778086_2845.402956,0.043007206,0.05464832,0.563914825,0.097692763,0.228456833,0.012280053
-2271.778086_2945.402956,0.237451677,0.011148703,0.51320662,0,0.238193,0
-2271.778086_3045.402956,0.253700061,0.137614162,0.375620356,0,0.233065421,0
-2271.778086_3145.402956,0.220430748,0.005620506,0.723206793,0,0.050741953,0
-2271.778086_3245.402956,0.054232138,0.057229595,0.612864462,0.06376615,0.20634909,0.005558565
-2271.778086_3345.402956,0,0.14496214,0.58041056,0.073820485,0.177956081,0.022850733
-2271.778086_3445.402956,0.024365387,0.286450521,0.482987874,0.079911235,0.126284983,0
-2271.778086_3545.402956,0.246532222,0.467886897,0.028516766,0.011821546,0.231808189,0.01343438
-2271.778086_3645.402956,0.350835131,0.067530026,0.324285685,0.057157536,0.181055918,0.019135704
-2271.778086_3745.402956,0.467017133,0.347556719,0.062727112,0,0.122699036,0
-2271.778086_3845.402956,0.260885519,0.026345487,0.681989014,0,0.030779979,0
-2271.778086_3945.402956,0.169204942,0.043899666,0.164278778,0.081498519,0.541118095,0
-2271.778086_4045.402956,0.203407835,0.004508796,0.708634349,0,0.083449019,0
-2271.778086_4145.402956,0.013714952,0.362075831,0.119263927,0.069288902,0.350128231,0.085528157
-2271.778086_4245.402956,0.657708153,0.077731512,0.143978505,0.02359028,0.015696877,0.081294673
-2371.778086_2745.402956,0.661084956,0.127809775,0.129920778,0.028849138,0.052335353,0
-2371.778086_2845.402956,0.570130103,0.064252968,0.198766532,0.020944272,0.145906125,0
-2371.778086_2945.402956,0.019741097,0.135877203,0.661976427,0.038335095,0.144070178,0
-2371.778086_3045.402956,0.045330307,0.060251968,0.257990381,0.147264921,0.489162424,0
-2371.778086_3145.402956,0,0.275236954,0.416346533,0.157950578,0.150465935,0
-2371.778086_3245.402956,0.125773307,0.133931831,0.472196912,0.083834028,0.159742276,0.024521644
-2371.778086_3345.402956,0.003308631,0.028987028,0.938190224,0.020159582,0.009354536,0
-2371.778086_3445.402956,0.040650288,0.652492663,0.042447312,0.111597267,0.15281247,0
-2371.778086_3545.402956,0,0.017109357,0.814599975,0.011043247,0.157247421,0
-2371.778086_3645.402956,0.093168404,0.035543759,0.138439923,0.124412122,0.588693264,0.019742528
-2371.778086_3745.402956,0.010005774,0.145975853,0.157615774,0.058590756,0.569180168,0.058631675
-2371.778086_3845.402956,0.029577107,0.012370066,0.958052827,0,0,0
-2371.778086_3945.402956,0.62619788,0.032254772,0.149521958,0.016065681,0.175959708,0
-2371.778086_4045.402956,0.090463554,0.797869361,0.05121289,0.019308673,0.041145522,0
-2371.778086_4145.402956,0.397668488,0.408388697,0.156308939,0,0.037633877,0
-2371.778086_4245.402956,0.592561327,0.127606901,0.111995928,0.067073991,0.100761853,0
-2471.778086_2745.402956,0.673425645,0.05077986,0.207399478,0.007361456,0.061033561,0
-2471.778086_2845.402956,0,0.067644061,0.6541895,0.08905298,0.180636481,0.008476977
-2471.778086_2945.402956,0.078473931,0.121359077,0.633493471,0.024687705,0.141985816,0
-2471.778086_3045.402956,0.512034256,0.048295347,0.065198049,0.005262632,0.369209715,0
-2471.778086_3145.402956,0.22341758,0.430648279,0.106484734,0.086733545,0.152715863,0
-2471.778086_3245.402956,0.229632272,0.144073194,0.436642308,0.055443606,0.119191662,0.015016958
-2471.778086_3345.402956,0.188817483,0.161725511,0.357210634,0.092767898,0.174726492,0.024751982
-2471.778086_3445.402956,0.101874678,0.050620856,0.702737718,0.025310493,0.119456255,0
-2471.778086_3545.402956,0.259346791,0.016689757,0.546716952,0.041861267,0.128602581,0.006782652
-2471.778086_3645.402956,0.059506825,0.278212341,0.640059626,0.016759464,0.005461745,0
-2471.778086_3745.402956,0.040420987,0.055348888,0.56059721,0.086499645,0.257133269,0
-2471.778086_3845.402956,0.001250777,0.041824026,0.908007005,0.030161162,0.01875703,0
