,cell_ID,OD,Microglia,Endothelial,Astrocyte,Inhibitory,Excitatory
-1971.778086_2745.402956,-1971.778086_2745.402956,0,0,0.786066281,0,0.213933719,0
-1971.778086_2845.402956,-1971.778086_2845.402956,0,0,0,0,0.170838399,0.829161601
-1971.778086_2945.402956,-1971.778086_2945.402956,0,0,0.186367372,0,0.813632628,0
-1971.778086_3045.402956,-1971.778086_3045.402956,0,0,0,1,0,0
-1971.778086_3145.402956,-1971.778086_3145.402956,0,0,0,0,0,1
-1971.778086_3245.402956,-1971.778086_3245.402956,0,0,1,0,0,0
-1971.778086_3345.402956,-1971.778086_3345.402956,0,0,0.954645503,0.045354497,0,0
-1971.778086_3445.402956,-1971.778086_3445.402956,0,0,0.407511177,0.592488823,0,0
-1971.778086_3545.402956,-1971.778086_3545.402956,0,0,1,0,0,0
-1971.778086_3645.402956,-1971.778086_3645.402956,0,0.362321986,0,0,0.637678014,0
-1971.778086_3745.402956,-1971.778086_3745.402956,0,0.198970909,0,0,0.801029091,0
-1971.778086_3845.402956,-1971.778086_3845.402956,0.638674342,0,0,0,0.361325658,0
-1971.778086_3945.402956,-1971.778086_3945.402956,0,0.292146609,0,0,0.707853391,0
-1971.778086_4045.402956,-1971.778086_4045.402956,0,0,0.874868655,0,0.125131345,0
-1971.778086_4145.402956,-1971.778086_4145.402956,0,0,0,0.648205782,0.351794218,0
-1971.778086_4245.402956,-1971.778086_4245.402956,0,0.25538783,0,0,0.74461217,0
-2071.778086_2745.402956,-2071.778086_2745.402956,0.431279841,0,0,0,0.568720159,0
-2071.778086_2845.402956,-2071.778086_2845.402956,0,0,0,0.99991263,8.74E-05,0
-2071.778086_2945.402956,-2071.778086_2945.402956,0,0,0,1,0,0
-2071.778086_3045.402956,-2071.778086_3045.402956,0.192614229,0,0,0,0.807385771,0
-2071.778086_3145.402956,-2071.778086_3145.402956,0,0,0.770450655,0.229549345,0,0
-2071.778086_3245.402956,-2071.778086_3245.402956,0,0,2.64E-06,0.613548836,0.38644852,0
-2071.778086_3345.402956,-2071.778086_3345.402956,0,0,0,0,1,0
-2071.778086_3445.402956,-2071.778086_3445.402956,0,0.161179988,0,0,0.838820012,0
-2071.778086_3545.402956,-2071.778086_3545.402956,0.499341044,0,0,0,0.500658956,0
-2071.778086_3645.402956,-2071.778086_3645.402956,0,0.112425369,0,0,0.887574631,0
-2071.778086_3745.402956,-2071.778086_3745.402956,0,0.29107809,0,0,0.70892191,0
-2071.778086_3845.402956,-2071.778086_3845.402956,0,0.367618648,0,0,0.632381352,0
