"","Inhibitory","Excitatory","OD","Microglia","Endothelial","Astrocyte"
"-1971.778086_2745.402956",0.168728738812125,0.479777759630043,0.121569844394518,0.0724069155106743,0,0.15751674165264
"-1971.778086_2845.402956",0.125411128893048,0.516258055529082,0.125581168382841,0.000388125931534721,0.0279079531601903,0.204453568103304
"-1971.778086_2945.402956",0.0500333278851587,0.489851354158115,0.0899164312406629,0.0310432417021126,0,0.33915564501395
"-1971.778086_3045.402956",0.0757300747702771,0.410982613034907,0.243708292634909,0.00568985934483941,0.0340259190391261,0.229863241175941
"-1971.778086_3145.402956",0.0163139663069586,0.348448231587551,0.0377290590432473,0.122680096474798,0.365456888743223,0.109371757844222
"-1971.778086_3245.402956",0.053957623140879,0.65606055555267,0.136984837658771,0.110824724666094,0.00126519957798859,0.0409070594035979
"-1971.778086_3345.402956",0.0327717391258678,0.521804576037014,0.283288112931606,0.146706409527935,0.015429162377577,0
"-1971.778086_3445.402956",0.0716165819068254,0.607645579095588,0.246122758560358,0.0150596179767324,0,0.0595554624604957
"-1971.778086_3545.402956",0.058815194161701,0.689979130222404,0.183550701687228,0.0229859297079139,0,0.0446690442207526
"-1971.778086_3645.402956",0.1094591884074,0.682620801099571,0.0674179518905177,0.0574425700697638,0.00561344795851281,0.0774460405742347
"-1971.778086_3745.402956",0.0947395444893828,0.515476438910412,0.0486936338914741,0.040295067983173,0.0140226690816086,0.286772645643949
"-1971.778086_3845.402956",0.070996247120917,0.432765565190889,0.301676236567603,0.0229424928143546,0.0378837234626875,0.133735734843549
"-1971.778086_3945.402956",0.128256260113366,0.416306688601335,0.217402920933491,0.110677513990525,0.010901649846613,0.11645496651467
"-1971.778086_4045.402956",0.104418401213086,0.568204285342695,0.217306677261303,0.010724796455483,0.00333485812214184,0.0960109816052908
"-1971.778086_4145.402956",0.0983130054710795,0.488342869651987,0.300253541918907,0.0293578479546177,0.019208468770164,0.0645242662332453
"-1971.778086_4245.402956",0.144116638296265,0.524137744707893,0.141068666355689,0.0725282318835229,0.0537654271245686,0.064383291632061
"-2071.778086_2745.402956",0.34358029253741,0.395059481235089,0.129815561208992,0.0772496672595787,0.0153871041160211,0.0389078936429085
"-2071.778086_2845.402956",0.0184832999906042,0.588957057648754,0.171327893899991,0.0711952976175632,0.03058228159985,0.119454169243237
"-2071.778086_2945.402956",0.132687331752047,0.513171367979923,0.178082065946904,0.0146997785289401,0,0.161359455792186
"-2071.778086_3045.402956",0.060339058329142,0.673959482074652,0.133659928759567,0.0115862306866863,0.0620473775492432,0.0584079226007101
"-2071.778086_3145.402956",0.0293810749112281,0.599966882883423,0.271968687511063,0.0828603025960633,0,0.015823052098222
"-2071.778086_3245.402956",0.304461210920835,0.288474020222334,0.189757452741002,0.0115856309095326,0,0.205721685206296
"-2071.778086_3345.402956",0.0254521680655521,0.628834200339106,0.145744500589981,0,0.0113017137764727,0.188667417228889
"-2071.778086_3445.402956",0.127920895817404,0.467136723474093,0.213101010810891,0.000613638715063394,0,0.191227731182548
"-2071.778086_3545.402956",0.085179035093824,0.614170108683716,0.130716831588351,0.0101725002773519,0.00975457619063583,0.150006948166122
"-2071.778086_3645.402956",0.0330567304170245,0.57098460871368,0.109452284591482,0.0464167680830111,0.0729025923987954,0.167187015796007
"-2071.778086_3745.402956",0.0376880998493508,0.625605037821643,0.0651340210458759,0.0554380939245471,0.0283799121017999,0.187754835256784
"-2071.778086_3845.402956",0.0746469082559514,0.551486192277489,0.121526017836712,0.0369540557868249,0,0.215386825843022
"-2071.778086_3945.402956",0.173858275668733,0.554384638983691,0.130122060157462,0.0637976906925999,0,0.0778373344975141
