,OD,Excitatory,Endothelial,Inhibitory,Astrocyte,Microglia
-1971.778086_2745.402956,0.159134039,0.164232526,0.161567787,0.191401595,0.147934105,0.175729949
-1971.778086_2845.402956,0.151227944,0.181598887,0.120287765,0.161300125,0.189980691,0.195604588
-1971.778086_2945.402956,0.16447012,0.148508163,0.177235642,0.162938269,0.15568356,0.191164246
-1971.778086_3045.402956,0.186785372,0.186462151,0.194453836,0.180703983,0.142388599,0.10920606
-1971.778086_3145.402956,0.147432271,0.146347757,0.235207858,0.125026773,0.119349645,0.226635696
-1971.778086_3245.402956,0.169694959,0.150440446,0.16755963,0.171040487,0.122043645,0.219220832
-1971.778086_3345.402956,0.184676395,0.168703981,0.112483964,0.185894664,0.132642318,0.215598677
-1971.778086_3445.402956,0.19086627,0.174922907,0.09902234,0.200070251,0.18938145,0.145736782
-1971.778086_3545.402956,0.170175771,0.184526386,0.1304085,0.172560395,0.154967236,0.187361712
-1971.778086_3645.402956,0.136794159,0.167454142,0.182695172,0.144162641,0.167823664,0.201070223
-1971.778086_3745.402956,0.155814131,0.190866047,0.100964365,0.186595779,0.204760433,0.160999246
-1971.778086_3845.402956,0.147966259,0.168074067,0.109836161,0.162858119,0.186010929,0.225254464
-1971.778086_3945.402956,0.139093873,0.150782589,0.135390301,0.174568768,0.157089694,0.243074776
-1971.778086_4045.402956,0.161279425,0.181383518,0.157202068,0.179682455,0.150883876,0.169568657
-1971.778086_4145.402956,0.187357872,0.161127996,0.154313924,0.186945834,0.121029155,0.189225219
-1971.778086_4245.402956,0.143778319,0.173312639,0.215887654,0.180687916,0.142145625,0.144187847
-2071.778086_2745.402956,0.14443178,0.17962689,0.184913469,0.166034679,0.120453929,0.204539252
-2071.778086_2845.402956,0.166068061,0.177775619,0.192819527,0.15854385,0.112486246,0.192306696
-2071.778086_2945.402956,0.172158876,0.174812236,0.182502078,0.175805337,0.148437119,0.146284354
-2071.778086_3045.402956,0.147345877,0.160354087,0.233688737,0.17155161,0.165130826,0.121928864
-2071.778086_3145.402956,0.18440843,0.168367258,0.143171721,0.137312043,0.123774003,0.242966545
-2071.778086_3245.402956,0.180763166,0.1540173,0.123248353,0.19803676,0.155357926,0.188576496
-2071.778086_3345.402956,0.141972872,0.181158613,0.230070005,0.137328117,0.206129204,0.103341188
-2071.778086_3445.402956,0.158653389,0.200277363,0.152530544,0.170455648,0.216687687,0.101395369
-2071.778086_3545.402956,0.152117314,0.176728011,0.170850425,0.166906906,0.184048132,0.14934921
-2071.778086_3645.402956,0.13817727,0.155826826,0.181722239,0.152719072,0.176411326,0.195143266
-2071.778086_3745.402956,0.140469143,0.15742191,0.193933892,0.148451968,0.183557437,0.17616565
-2071.778086_3845.402956,0.136413729,0.161885398,0.16014566,0.169459372,0.182001704,0.190094137
-2071.778086_3945.402956,0.12907635,0.154448615,0.156246427,0.18052873,0.172492419,0.207207458
-2071.778086_4045.402956,0.14185338,0.166586689,0.13160679,0.164895707,0.143890842,0.251166592
-2071.778086_4145.402956,0.160638022,0.162817631,0.133290674,0.19006883,0.091218794,0.26196605
-2071.778086_4245.402956,0.148925546,0.177799228,0.118345084,0.188981358,0.177212495,0.188736288
-2171.778086_2745.402956,0.186161222,0.154951509,0.144057641,0.141604206,0.162450489,0.210774933
-2171.778086_2845.402956,0.167608854,0.171968705,0.218005065,0.144119513,0.163138469,0.135159393
-2171.778086_2945.402956,0.169807865,0.160070164,0.168215796,0.170011027,0.167609421,0.164285727
-2171.778086_3045.402956,0.145720238,0.146461465,0.215275473,0.150731473,0.096652199,0.245159153
-2171.778086_3145.402956,0.178867891,0.184140253,0.163589601,0.162252322,0.210926142,0.100223791
-2171.778086_3245.402956,0.154347913,0.174837312,0.204062443,0.130132192,0.14883972,0.187780419
-2171.778086_3345.402956,0.159998629,0.144335125,0.198492125,0.170610225,0.18864106,0.137922835
-2171.778086_3445.402956,0.142198057,0.173089237,0.150405761,0.181100501,0.200629761,0.152576683
-2171.778086_3545.402956,0.152558001,0.184042591,0.178948256,0.183461683,0.219985727,0.081003743
-2171.778086_3645.402956,0.137738859,0.163763246,0.131990812,0.180186372,0.223040833,0.163279879
-2171.778086_3745.402956,0.171376703,0.193143658,0.166890027,0.152294902,0.253509606,0.062785104
-2171.778086_3845.402956,0.152179311,0.182331134,0.199126361,0.175335566,0.194004191,0.097023438
-2171.778086_3945.402956,0.151961031,0.166353069,0.198509259,0.177396016,0.192202012,0.113578613
-2171.778086_4045.402956,0.155905016,0.183472437,0.11433543,0.16530389,0.198850387,0.18213284
-2171.778086_4145.402956,0.16785565,0.131280971,0.163533927,0.185852614,0.163386435,0.188090404
-2171.778086_4245.402956,0.192477722,0.173674879,0.101804491,0.181371229,0.132804702,0.217866977
-2271.778086_2745.402956,0.183181499,0.173439066,0.091879934,0.131605238,0.219184605,0.200709658
-2271.778086_2845.402956,0.152903972,0.15382494,0.179568375,0.16744835,0.134007857,0.212246505
-2271.778086_2945.402956,0.173393358,0.182686357,0.204769864,0.167283593,0.183048383,0.088818445
-2271.778086_3045.402956,0.16429406,0.199589659,0.129055592,0.188613919,0.158860439,0.15958633
-2271.778086_3145.402956,0.121378703,0.164591587,0.177880747,0.152259856,0.181683289,0.202205818
-2271.778086_3245.402956,0.156091495,0.164209288,0.173268663,0.168670276,0.181548197,0.156212081
-2271.778086_3345.402956,0.140509632,0.177046156,0.168675809,0.173756054,0.205201953,0.134810396
-2271.778086_3445.402956,0.171335912,0.193104925,0.190004339,0.177780992,0.183143327,0.084630504
-2271.778086_3545.402956,0.142650299,0.169620101,0.127379201,0.188936587,0.20767989,0.163733922
-2271.778086_3645.402956,0.174222124,0.174154196,0.162478772,0.167313189,0.15876985,0.163061869
-2271.778086_3745.402956,0.159462809,0.173973842,0.190557524,0.16089276,0.21807863,0.097034435
-2271.778086_3845.402956,0.154825919,0.156613996,0.218277176,0.160916681,0.139399527,0.1699667
-2271.778086_3945.402956,0.151257769,0.162289529,0.141375327,0.147360142,0.162926527,0.234790706
-2271.778086_4045.402956,0.137872735,0.170822701,0.189670968,0.178341042,0.119568201,0.203724353
-2271.778086_4145.402956,0.190527318,0.156123381,0.080884007,0.154666,0.129899158,0.287900135
