barcode,Astrocyte,Endothelial,Excitatory,Inhibitory,Microglia,OD
-1971.778086_2745.402956,0.06196526535122323,0.09422397287523397,0.21781564283552918,0.25915426003552194,0.045244202276114746,0.3215966566263753
-1971.778086_2845.402956,0.05373191621017239,0.15370891235006912,0.17894130518729465,0.030255580600436222,0.04567524004428309,0.5376870456077432
-1971.778086_2945.402956,0.22462688378046636,0.11385571310228738,0.211921889983251,0.06104607011550084,0.04991084534109186,0.338638597677403
-1971.778086_3045.402956,0.023237986814289076,0.058524129137274526,0.13612329991658348,0.3212338160162395,0.02131728885960358,0.43956347925600947
-1971.778086_3145.402956,0.042670817961489985,0.4463597144387139,0.12041466583586181,0.010340368576789457,0.039574604286122236,0.3406398289010236
-1971.778086_3245.402956,0.049200009818661024,0.08688733314668265,0.2097864696039203,0.3081649341684368,0.03639868956089222,0.30956256370140917
-1971.778086_3345.402956,0.05082005813120513,0.09712346583938425,0.17963331014783226,0.03372379058767006,0.0558980586943951,0.5828013165995141
-1971.778086_3445.402956,0.043977979937914184,0.07697996326737612,0.16040823341428748,0.03379999253197808,0.03806265748087216,0.6467711733675713
-1971.778086_3545.402956,0.06033931529317682,0.09527348438706533,0.21337421736560067,0.050095883370001024,0.04658668752770221,0.5343304120564538
-1971.778086_3645.402956,0.059663006274387496,0.10802498017717332,0.2971991326523178,0.18700998445101882,0.044859837619365975,0.3032430588257368
-1971.778086_3745.402956,0.09720843211100716,0.14197395702831198,0.28379744380845906,0.05350509287509316,0.07806053978107666,0.34545453439605334
-1971.778086_3845.402956,0.06287136519349101,0.09544687504187156,0.25151304805376684,0.03875960007327517,0.04698421998442226,0.5044248916531731
-1971.778086_3945.402956,0.07715863886322942,0.15807529598216644,0.2502466177723676,0.10165112263016235,0.06537774447537884,0.3474905802766937
-1971.778086_4045.402956,0.06730723553554283,0.11147157218394535,0.3706847621820924,0.036383982627468184,0.04794860746791509,0.3662038400030367
-1971.778086_4145.402956,0.0655150697154922,0.12452690609540407,0.20299212636747407,0.024385801596973754,0.0441156892613586,0.5384644069632998
-1971.778086_4245.402956,0.06682661364798737,0.17134370528508552,0.2544513070358322,0.18119677141648244,0.04360769981246455,0.28257390280214834
-2071.778086_2745.402956,0.09527156423448116,0.1730424640972893,0.27102748888194617,0.039591190232418645,0.07670226807170122,0.3443650244821637
-2071.778086_2845.402956,0.061684303877950424,0.14460723375317863,0.20893597213705314,0.02050201879804104,0.046350140286911264,0.5179203311468622
-2071.778086_2945.402956,0.0846153768510553,0.10280245928900218,0.2170111806478129,0.021041813630860672,0.052053595730409685,0.5224755738508589
-2071.778086_3045.402956,0.07870028037100242,0.16933985153195175,0.27408324255788147,0.11560713596113609,0.0641736409408378,0.29809584863718847
-2071.778086_3145.402956,0.06330424714772656,0.11934999584296785,0.23615262231107967,0.026997284315746436,0.05349354946859683,0.5007023009138819
-2071.778086_3245.402956,0.09713510992529399,0.1399648172475473,0.22567855300715212,0.04432568146715478,0.06504868293795445,0.4278471554148984
-2071.778086_3345.402956,0.13916945979803894,0.20650967040289694,0.22999267422717962,0.021155234781757525,0.07955433324752734,0.3236186275425982
-2071.778086_3445.402956,0.1132652487623678,0.13131952239618336,0.2720043042094585,0.07438066501046117,0.0704445151059792,0.33858574451555207
-2071.778086_3545.402956,0.06479601904879889,0.10845227837132627,0.2623881479659632,0.09281582296329971,0.054351883547400615,0.41719584810320987
-2071.778086_3645.402956,0.07131518735085242,0.21819596868507465,0.2324699728141025,0.06943550871817313,0.0532663097442712,0.3553170526875256
-2071.778086_3745.402956,0.07164974591547045,0.20993450144168802,0.24330572608479664,0.04100272106805587,0.05404091169851253,0.380066393791476
-2071.778086_3845.402956,0.0763976911485932,0.12311245201920505,0.31101800829761933,0.10034451004319975,0.056497399303052184,0.3326299391883314
-2071.778086_3945.402956,0.0755928967417358,0.12057056308665391,0.3322504368850566,0.07954754051637317,0.05717413896368815,0.3348644238064911
-2071.778086_4045.402956,0.09218080462391916,0.09832697815458434,0.3583416610064681,0.08525727483966564,0.05010283919731381,0.3157904421780475
-2071.778086_4145.402956,0.06828057389582842,0.12366033712655515,0.29301257664640906,0.12330789575735882,0.07051647808425027,0.32122213848959863
-2071.778086_4245.402956,0.08128294003697857,0.09221098410017155,0.36460279500540954,0.09024842291737013,0.04583167158184034,0.32582318635822916
-2171.778086_2745.402956,0.11596149716532834,0.15127722010561093,0.2054427009519917,0.014555118429875762,0.08114567377079988,0.43161778957639424
