,Astrocyte,Endothelial,Inhibitory,Microglia,OD,Excitatory,Others_cellf
-1971.778086_2745.402956,0.002528771,0.012958056,3.60E-05,0.007319449,0.14820267,0.44913277,0.37982225
-1971.778086_2845.402956,0.009596041,0.03622001,3.79E-05,0.006898138,0.17486598,0.4788636,0.2935184
-1971.778086_2945.402956,0.004935794,0.023904093,1.58E-05,0.014262302,0.17237201,0.3541071,0.43040296
-1971.778086_3045.402956,0.001451809,0.02120896,6.84E-05,0.008260963,0.22030596,0.34734854,0.4013554
-1971.778086_3145.402956,0.02585799,0.10178447,0.000332512,0.030670458,0.22873965,0.27424565,0.33836928
-1971.778086_3245.402956,0.002925194,0.017416835,4.45E-05,0.012199062,0.18295887,0.38937426,0.39508134
-1971.778086_3345.402956,0.002060781,0.004843632,0.000263017,0.006300342,0.20675159,0.2842356,0.49554515
-1971.778086_3445.402956,0.0019888,0.003924414,9.85E-05,0.004198836,0.20846839,0.35376045,0.42756054
-1971.778086_3545.402956,0.001073693,0.006653354,1.86E-05,0.005330839,0.17433667,0.41499162,0.39759532
-1971.778086_3645.402956,0.019046798,0.025369382,8.81E-05,0.008692768,0.076472975,0.45016125,0.42016873
-1971.778086_3745.402956,0.00132825,0.002031061,3.16E-05,0.002352194,0.06616974,0.57405555,0.35403153
-1971.778086_3845.402956,0.000807553,0.003616897,1.50E-05,0.005102112,0.14068404,0.5007705,0.34900394
-1971.778086_3945.402956,0.019888457,0.019069005,7.94E-05,0.008371878,0.06943903,0.54309434,0.34005794
-1971.778086_4045.402956,0.009182509,0.007337018,4.91E-05,0.001402951,0.099843085,0.6428393,0.23934604
-1971.778086_4145.402956,0.003217024,0.026626596,3.46E-05,0.007014187,0.2062469,0.43601802,0.32084268
-1971.778086_4245.402956,0.006362795,0.030951688,2.22E-05,0.015474107,0.07974886,0.58248675,0.28495365
-2071.778086_2745.402956,0.006042505,0.031124488,1.60E-05,0.011224268,0.11817277,0.5263816,0.30703837
-2071.778086_2845.402956,0.001403393,0.01552345,9.60E-06,0.008711709,0.17952506,0.44500786,0.34981894
-2071.778086_2945.402956,0.00343053,0.013956153,2.98E-05,0.007423724,0.22576703,0.3430033,0.40638947
-2071.778086_3045.402956,0.010974259,0.03979176,2.43E-05,0.008225649,0.10916117,0.5342832,0.29753968
-2071.778086_3145.402956,0.001310962,0.007482112,1.77E-05,0.005921881,0.16047941,0.48583415,0.33895373
-2071.778086_3245.402956,0.010026972,0.012541099,5.80E-05,0.007737828,0.17974016,0.38625652,0.40363947
-2071.778086_3345.402956,0.10107194,0.12713765,4.74E-05,0.010259366,0.15556252,0.18707454,0.41884658
-2071.778086_3445.402956,0.005268378,0.006464827,2.74E-05,0.003813128,0.103888534,0.5144536,0.36608422
-2071.778086_3545.402956,0.00091135,0.006034945,1.79E-05,0.00594839,0.13746129,0.44218764,0.4074386
-2071.778086_3645.402956,0.040531106,0.06612068,0.000141164,0.013659179,0.13842897,0.3036876,0.4374313
-2071.778086_3745.402956,0.003313305,0.035086975,1.41E-05,0.010700378,0.16436692,0.34315324,0.443365
-2071.778086_3845.402956,0.002115284,0.012891437,1.30E-05,0.007274984,0.09094337,0.5061109,0.38065103
-2071.778086_3945.402956,0.001958348,0.013146,1.94E-05,0.00975593,0.06694186,0.5323536,0.3758249
-2071.778086_4045.402956,0.008475479,0.009527401,3.80E-05,0.008781114,0.0732208,0.61912674,0.2808305
-2071.778086_4145.402956,0.000737304,0.006840183,4.57E-05,0.01794035,0.11127397,0.46753708,0.3956255
-2071.778086_4245.402956,0.002563107,0.002078583,2.33E-05,0.004501825,0.091829754,0.56698537,0.33201805
