,Astrocyte,Endothelial,Excitatory,Inhibitory,Microglia,OD
-1971.778086_2745.402956,0.13523439,4.3749205e-06,0.3758357,0.29805046,0.08906853,0.10180665
-1971.778086_2845.402956,0.1162,0.2580412,0.2539495,0.17512144,0.011499041,0.18518887
-1971.778086_2945.402956,0.57430065,0.0326903,0.24181224,0.07631417,0.07488215,3.2144607e-07
-1971.778086_3045.402956,0.0054187025,0.1313734,0.22339419,0.19285731,0.2509887,0.19596769
-1971.778086_3145.402956,0.10451983,0.47989354,0.18178609,0.012410022,0.15401708,0.06737353
-1971.778086_3245.402956,0.15530218,0.023080492,0.22487947,0.25000548,0.30163348,0.04509885
-1971.778086_3345.402956,2.9302137e-07,2.2827541e-07,0.3283545,0.16564606,0.25103793,0.25496098
-1971.778086_3445.402956,0.09262218,1.7057971e-07,0.22111985,0.23939428,0.07540658,0.37145692
-1971.778086_3545.402956,0.13981602,0.012008292,0.3273352,0.20318936,0.040688038,0.27696308
-1971.778086_3645.402956,0.31056887,0.19106641,0.10570029,0.34446198,0.048199728,2.7035771e-06
-1971.778086_3745.402956,0.43607295,2.8805627e-07,0.32209462,0.24183045,3.0574986e-07,1.4007306e-06
-1971.778086_3845.402956,0.20733856,2.9072618e-07,0.17346485,0.09751545,0.15013792,0.3715429
-1971.778086_3945.402956,0.3319706,0.15130399,7.727056e-07,0.41774088,0.09421803,0.004765654
-1971.778086_4045.402956,0.23106329,0.0877473,0.4650262,0.09727742,1.7204118e-06,0.11888406
-1971.778086_4145.402956,0.16361594,0.16476709,0.32936132,0.097846925,4.3803985e-07,0.24440828
-1971.778086_4245.402956,0.25981334,0.32201478,0.11291691,0.30525297,1.7991674e-06,5.9076907e-08
-2071.778086_2745.402956,0.1580703,0.0146434605,0.23137729,0.1929117,0.4029964,8.8631975e-07
-2071.778086_2845.402956,0.16723195,0.16104928,0.31685477,5.3483545e-06,0.18789797,0.16696069
-2071.778086_2945.402956,0.23260981,0.025661817,0.3247587,0.0709326,0.123310015,0.22272699
-2071.778086_3045.402956,0.1597374,0.14969742,0.42248225,0.20188229,0.06620054,5.0489902e-08
-2071.778086_3145.402956,0.080034554,0.058733594,0.38454902,0.06453507,0.20827636,0.20387138
-2071.778086_3245.402956,0.39193702,0.14814083,0.13559605,0.17827204,0.008646415,0.13740762
-2071.778086_3345.402956,0.44706625,0.22732311,0.26576772,0.059842482,3.0271508e-07,1.1745678e-07
-2071.778086_3445.402956,0.619838,4.244729e-06,4.1126636e-06,0.30473253,2.8092398e-07,0.07542085
